cpus=4
          stress-2707  [001]  9231.160330321:          sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.990957170: (+7989741) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.998963040: (+8005870) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.006964484: (+8001444) sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.007000855: (+36371) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9232.018963188: (+11962333) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.018976577: (+13389) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2711  [001]  9232.018980132: (+3555)  sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.026981429: (+8001297) sched_switch:         stress:2714 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.034971188: (+7989759) sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.042971040: (+7999852) sched_switch:         stress:2714 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.050987595: (+8016555) sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.058975188: (+7987593) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.066976854: (+8001666) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.074989669: (+8012815) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.082992577: (+8002908) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.090984558: (+7991981) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.099000151: (+8015593) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.106987595: (+7987444) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.115009743: (+8022148) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.115061299: (+51556) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9232.123015984: (+7954685) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.123054706: (+38722) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2711  [001]  9232.123058947: (+4241)  sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.130995873: (+7936926) sched_switch:         stress:2714 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.138995613: (+7999740) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.147029113: (+8033500) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.155001928: (+7972815) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.163000410: (+7998482) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.171018558: (+8018148) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.179021595: (+8003037) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.179088873: (+67278) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9232.187013484: (+7924611) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.187058336: (+44852) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2711  [001]  9232.187062780: (+4444)  sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.195010335: (+7947555) sched_switch:         stress:2714 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9232.203025669: (+8015334) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.211029391: (+8003722) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.219016446: (+7987055) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.227023428: (+8006982) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.235036039: (+8012611) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.239036780: (+4000741) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9232.251039057: (+12002277) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.255074095: (+4035038) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9232.255079780: (+5685)  sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.263027298: (+7947518) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.271049483: (+8022185) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.279031668: (+7982185) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.287037594: (+8005926) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.295057168: (+8019574) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.303038539: (+7981371) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.311038391: (+7999852) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.319059816: (+8021425) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.327044631: (+7984815) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.335043798: (+7999167) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.343064242: (+8020444) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.351062427: (+7998185) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.359052002: (+7989575) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.367101224: (+8049222) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.375056724: (+7955500) sched_switch:         stress:2714 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9232.383074631: (+8017907) sched_switch:         stress:2709 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.391058150: (+7983519) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.399061872: (+8003722) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.407082261: (+8020389) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.415064335: (+7982074) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.423067353: (+8003018) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.431089353: (+8022000) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.439073094: (+7983741) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.447074835: (+8001741) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.455093223: (+8018388) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.463079112: (+7985889) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.471080890: (+8001778) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.479126205: (+8045315) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.487106242: (+7980037) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.495095371: (+7989129) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.503105501: (+8010130) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.511088834: (+7983333) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.519091853: (+8003019) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.527143668: (+8051815) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.535097538: (+7953870) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.543158038: (+8060500) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.547167593: (+4009555) sched_switch:         stress:2712 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.555108760: (+7941167) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.563106279: (+7997519) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.571130353: (+8024074) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.571193204: (+62851) sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9232.577423334: (+6230130) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9232.577427260: (+3926)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.577488260: (+61000) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9232.577513686: (+25426) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9232.583106445: (+5592759) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.591110538: (+8004093) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.599129723: (+8019185) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.607137704: (+8007981) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.615120315: (+7982611) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.615138056: (+17741) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9232.623138908: (+8000852) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.623183723: (+44815) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9232.623186815: (+3092)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.631121075: (+7934260) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.639126926: (+8005851) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.647125241: (+7998315) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.655126186: (+8000945) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.663144611: (+8018425) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.671135019: (+7990408) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.679130389: (+7995370) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.679167778: (+37389) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9232.687164278: (+7996500) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.687195093: (+30815) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9232.687200297: (+5204)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.695136222: (+7935925) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.703136111: (+7999889) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.711140222: (+8004111) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.719219352: (+8079130) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.727143074: (+7923722) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.735148204: (+8005130) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.743165667: (+8017463) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.751149000: (+7983333) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.759157963: (+8008963) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.767171500: (+8013537) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.775154167: (+7982667) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.775182518: (+28351) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9232.787183500: (+12000982) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.791261018: (+4077518) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9232.791264667: (+3649)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.803163055: (+11898388) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.811163370: (+8000315) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.819181166: (+8017796) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.827187037: (+8005871) sched_switch:         stress:2712 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.835169463: (+7982426) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.839192259: (+4022796) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9232.839200018: (+7759)  sched_switch:         stress:2714 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9232.839266814: (+66796) sched_switch:         kworker/1:0:2611 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9232.839284944: (+18130) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9232.839288166: (+3222)  sched_switch:         stress:2712 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9232.839311185: (+23019) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2712 [120]
          stress-2712  [001]  9232.847191963: (+7880778) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.855177537: (+7985574) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.863182518: (+8004981) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.871178500: (+7995982) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.879197425: (+8018925) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.887184388: (+7986963) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.895185018: (+8000630) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.903186722: (+8001704) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.911224814: (+8038092) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.919194296: (+7969482) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.927194462: (+8000166) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.935199851: (+8005389) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.943213018: (+8013167) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.951201499: (+7988481) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.959207110: (+8005611) sched_switch:         stress:2707 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9232.967213314: (+8006204) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9232.967218407: (+5093)  sched_switch:         stress:2713 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9232.967239851: (+21444) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2712 [120]
          stress-2712  [001]  9232.975226499: (+7986648) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9232.983208555: (+7982056) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9232.991208462: (+7999907) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9232.999226536: (+8018074) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.007222406: (+7995870) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.015214369: (+7991963) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.023234592: (+8020223) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.031220573: (+7985981) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.039220980: (+8000407) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.047239277: (+8018297) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.055226147: (+7986870) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.063226351: (+8000204) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.071245091: (+8018740) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.079232443: (+7987352) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.087237739: (+8005296) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.095267073: (+8029334) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.103238276: (+7971203) sched_switch:         stress:2714 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.111238313: (+8000037) sched_switch:         stress:2707 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.119255943: (+8017630) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.123277073: (+4021130) sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9233.123347332: (+70259) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.131243776: (+7896444) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.139247239: (+8003463) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.147267332: (+8020093) sched_switch:         stress:2712 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.155278776: (+8011444) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.163253017: (+7974241) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.171253221: (+8000204) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.179261035: (+8007814) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.187258998: (+7997963) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.195280109: (+8021111) sched_switch:         stress:2713 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.203261869: (+7981760) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.211266072: (+8004203) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.215273646: (+4007574) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9233.215297720: (+24074) sched_switch:         stress:2713 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.215308980: (+11260) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2713 [120]
          stress-2713  [001]  9233.223270906: (+7961926) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.231288146: (+8017240) sched_switch:         stress:2712 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.231305017: (+16871) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.231310776: (+5759)  sched_switch:         stress:2707 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.231349369: (+38593) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9233.231365257: (+15888) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.231368369: (+3112)  sched_switch:         stress:2707 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.231378313: (+9944)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2707 [120]
          stress-2707  [001]  9233.239277869: (+7899556) sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.239307591: (+29722) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9233.239365609: (+58018) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9233.239368554: (+2945)  sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.247274591: (+7906037) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.255274368: (+7999777) sched_switch:         stress:2713 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.263305535: (+8031167) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.271281054: (+7975519) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.275311498: (+4030444) sched_switch:         stress:2713 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.283283683: (+7972185) sched_switch:         stress:2708 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9233.287284850: (+4001167) sched_switch:         stress:2716 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.287292128: (+7278)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.287296202: (+4074)  sched_switch:         stress:2712 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.287304202: (+8000)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2709 [120]
          stress-2709  [001]  9233.291306387: (+4002185) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.295329220: (+4022833) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.299292109: (+3962889) sched_switch:         stress:2708 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9233.303292998: (+4000889) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.303299331: (+6333)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.303302905: (+3574)  sched_switch:         stress:2714 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.303331794: (+28889) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9233.303348739: (+16945) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.303352016: (+3277)  sched_switch:         stress:2714 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.303360202: (+8186)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2714 [120]
          stress-2714  [001]  9233.307295702: (+3935500) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9233.311351368: (+4055666) sched_switch:         stress:2713 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.315311572: (+3960204) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.319310498: (+3998926) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.319342627: (+32129) sched_switch:         stress:2708 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9233.319367239: (+24612) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.319370257: (+3018)  sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.323295794: (+3925537) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.323314998: (+19204) sched_switch:         stress:2714 [120] D ==> stress:2709 [120]
          stress-2709  [001]  9233.331312424: (+7997426) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.339313016: (+8000592) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.339352479: (+39463) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2708  [001]  9233.343301572: (+3949093) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.351301053: (+7999481) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.359301961: (+8000908) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.363308738: (+4006777) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.363312627: (+3889)  sched_switch:         stress:2714 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.363322016: (+9389)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2709 [120]
          stress-2709  [001]  9233.371322350: (+8000334) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.379324331: (+8001981) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.379335553: (+11222) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.379339683: (+4130)  sched_switch:         stress:2714 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.379371072: (+31389) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9233.379387924: (+16852) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.379391368: (+3444)  sched_switch:         stress:2714 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001]  9233.379399461: (+8093)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:2714 [120]
          stress-2714  [001]  9233.387309553: (+7910092) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
