cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9231.189235636: (+11463) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.189250617: (+14981) sched_switch:         stress:2711 [120] D ==> stress:2710 [120]
          stress-2710  [002]  9231.190761913: (+1511296) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.190766728: (+4815)  sched_switch:         stress:2710 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.190778580: (+11852) sched_switch:         rcu_preempt:13 [120] W ==> stress:2709 [120]
          stress-2709  [002]  9231.191209395: (+430815) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.191212673: (+3278)  sched_switch:         stress:2709 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9231.191228173: (+15500) sched_switch:         kworker/2:1H:96 [100] D ==> stress:2709 [120]
          stress-2709  [002]  9231.191232450: (+4277)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.191234895: (+2445)  sched_switch:         stress:2709 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9231.191251432: (+16537) sched_switch:         kworker/2:1H:96 [100] W ==> stress:2709 [120]
          stress-2709  [002]  9231.193954117: (+2702685) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.193965376: (+11259) sched_switch:         stress:2709 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.194022821: (+57445) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9231.194047895: (+25074) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.194076006: (+28111) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.194081024: (+5018)  sched_switch:         stress:2711 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.194099802: (+18778) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.194118895: (+19093) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.194125117: (+6222)  sched_switch:         stress:2711 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.194139191: (+14074) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.194167062: (+27871) sched_switch:         stress:2711 [120] D ==> stress:2712 [120]
          stress-2712  [002]  9231.194178413: (+11351) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.194182006: (+3593)  sched_switch:         stress:2712 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.194194691: (+12685) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2712 [120]
          stress-2712  [002]  9231.195019154: (+824463) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.195024728: (+5574)  sched_switch:         stress:2712 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.195073636: (+48908) sched_switch:         ngrok:552 [120] S ==> stress:2710 [120]
          stress-2710  [002]  9231.195125247: (+51611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.195129099: (+3852)  sched_switch:         stress:2710 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.195147506: (+18407) sched_switch:         ngrok:515 [120] S ==> stress:2710 [120]
          stress-2710  [002]  9231.196114376: (+966870) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.196117691: (+3315)  sched_switch:         stress:2710 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.196146154: (+28463) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9231.196170080: (+23926) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [002]  9231.196191747: (+21667) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002]  9231.196205710: (+13963) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9231.196233413: (+27703) sched_switch:         ngrok:552 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.198787006: (+2553593) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.198797932: (+10926) sched_switch:         stress:2712 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.198825691: (+27759) sched_switch:         rcu_preempt:13 [120] W ==> stress:2710 [120]
          stress-2710  [002]  9231.205200710: (+6375019) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.205204839: (+4129)  sched_switch:         stress:2710 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.205231673: (+26834) sched_switch:         ngrok:515 [120] S ==> stress:2709 [120]
          stress-2709  [002]  9231.206771358: (+1539685) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.206777154: (+5796)  sched_switch:         stress:2709 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.206789450: (+12296) sched_switch:         rcu_preempt:13 [120] W ==> stress:2712 [120]
          stress-2712  [002]  9231.206835821: (+46371) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.206840802: (+4981)  sched_switch:         stress:2712 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.206886561: (+45759) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2712 [120]
          stress-2712  [002]  9231.210788636: (+3902075) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.210794339: (+5703)  sched_switch:         stress:2712 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.210822728: (+28389) sched_switch:         rcu_preempt:13 [120] W ==> stress:2709 [120]
          stress-2709  [002]  9231.211462173: (+639445) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.211467265: (+5092)  sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.211556210: (+88945) sched_switch:         stress:2711 [120] D ==> stress:2709 [120]
          stress-2709  [002]  9231.211636395: (+80185) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.211639950: (+3555)  sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.211647654: (+7704)  sched_switch:         stress:2711 [120] D ==> stress:2709 [120]
          stress-2709  [002]  9231.218781321: (+7133667) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.218791506: (+10185) sched_switch:         stress:2709 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.218808135: (+16629) sched_switch:         rcu_preempt:13 [120] W ==> stress:2712 [120]
