cpus=4
       trace-cmd-3096  [002] 14509.398744093:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3096  [002] 14509.398753945: (+9852)  sched_switch:         trace-cmd:3096 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [002] 14509.398777334: (+23389) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2863  [002] 14509.398784704: (+7370)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [002] 14509.399006797: (+222093) sched_switch:         sshd:778 [120] S ==> trace-cmd:3096 [120]
       trace-cmd-3096  [002] 14509.399014501: (+7704)  sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3096  [002] 14509.399019371: (+4870)  sched_switch:         trace-cmd:3096 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [002] 14509.399025630: (+6259)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2863  [002] 14509.399029982: (+4352)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [002] 14509.399085871: (+55889) sched_switch:         sshd:778 [120] S ==> trace-cmd:3096 [120]
       trace-cmd-3096  [002] 14509.399120741: (+34870) sched_switch:         trace-cmd:3096 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14509.399189482: (+68741) sched_wakeup:         kworker/u9:1:263 [100]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14509.399194612: (+5130)  sched_switch:         swapper/2:0 [120] R ==> kworker/u9:1:263 [100]
    kworker/u9:1-263   [002] 14509.399205186: (+10574) sched_switch:         kworker/u9:1:263 [100] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14509.416975593: (+17770407) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14509.416980501: (+4908)  sched_switch:         swapper/2:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [002] 14509.417018593: (+38092) sched_switch:         ngrok:552 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14509.418064315: (+1045722) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
