cpus=4
           <...>-2531  [002]  9142.036972161:          sched_switch:         trace-cmd:2531 [120] S ==> trace-cmd:2532 [120]
           ngrok-515   [002]  9142.313396975: (+9408)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.318945067: (+5548092) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.318961493: (+16426) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.318981271: (+19778) sched_switch:         kworker/2:1:2180 [120] R ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.318985345: (+4074)  sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.318987919: (+2574)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.318997919: (+10000) sched_switch:         kworker/2:1:2180 [120] D ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.319004789: (+6870)  sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.319008623: (+3834)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.319019975: (+11352) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.330939104: (+11919129) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.330950419: (+11315) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.330970623: (+20204) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.353302086: (+22331463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.353307067: (+4981)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.353317808: (+10741) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.363368178: (+10050370) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.363374586: (+6408)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.363383900: (+9314)  sched_wakeup:         trace-cmd:2531 [120]<CANT FIND FIELD success> CPU:002
           ngrok-515   [002]  9142.363394919: (+11019) sched_switch:         ngrok:515 [120] S ==> trace-cmd:2531 [120]
       trace-cmd-2531  [002]  9142.363408715: (+13796) sched_switch:         trace-cmd:2531 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.403299641: (+39890926) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
