cpus=4
       trace-cmd-2527  [001]  9142.036599624:          sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2527  [001]  9142.036612328: (+12704) sched_switch:         trace-cmd:2527 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9142.036631216: (+18888) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2244  [001]  9142.036640402: (+9186)  sched_switch:         kworker/u8:1:2244 [120] W ==> sshd:778 [120]
            sshd-778   [001]  9142.036819883: (+179481) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.036827216: (+7333)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.036865346: (+38130) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.036896883: (+31537) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.036900939: (+4056)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.036911531: (+10592) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.036919753: (+8222)  sched_switch:         sshd:778 [120] S ==> trace-cmd:2527 [120]
       trace-cmd-2527  [001]  9142.036923883: (+4130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
       trace-cmd-2527  [001]  9142.036926957: (+3074)  sched_switch:         trace-cmd:2527 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.036936531: (+9574)  sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2527 [120]
       trace-cmd-2527  [001]  9142.036941476: (+4945)  sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-2527  [001]  9142.036944476: (+3000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
       trace-cmd-2527  [001]  9142.036947698: (+3222)  sched_switch:         trace-cmd:2527 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9142.036954828: (+7130)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2244  [001]  9142.036959124: (+4296)  sched_switch:         kworker/u8:1:2244 [120] W ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.036969642: (+10518) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.036976587: (+6945)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.036979920: (+3333)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.036998828: (+18908) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037007661: (+8833)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037010365: (+2704)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037019661: (+9296)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037027013: (+7352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037029865: (+2852)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037039531: (+9666)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037047161: (+7630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037049994: (+2833)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037059253: (+9259)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037067179: (+7926)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037070068: (+2889)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037089735: (+19667) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037100383: (+10648) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037102976: (+2593)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037112513: (+9537)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037121198: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037123698: (+2500)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037139476: (+15778) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037147068: (+7592)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037149513: (+2445)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037158791: (+9278)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037167050: (+8259)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037169939: (+2889)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037179161: (+9222)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037186828: (+7667)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037189605: (+2777)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037198809: (+9204)  sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037206291: (+7482)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037209013: (+2722)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037239179: (+30166) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [001]  9142.037265531: (+26352) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
            sshd-778   [001]  9142.037268976: (+3445)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037282457: (+13481) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001]  9142.037318679: (+36222) sched_wakeup:         kworker/u9:1:263 [100]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001]  9142.037330457: (+11778) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9142.037337679: (+7222)  sched_switch:         ksoftirqd/1:18 [120] S ==> kworker/u9:1:263 [100]
    kworker/u9:1-263   [001]  9142.037343142: (+5463)  sched_switch:         kworker/u9:1:263 [100] W ==> sshd:778 [120]
            sshd-778   [001]  9142.037351994: (+8852)  sched_switch:         sshd:778 [120] S ==> trace-cmd:2527 [120]
       trace-cmd-2527  [001]  9142.037371902: (+19908) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
       trace-cmd-2527  [001]  9142.037375161: (+3259)  sched_switch:         trace-cmd:2527 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037400661: (+25500) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2527 [120]
       trace-cmd-2527  [001]  9142.037414642: (+13981) sched_switch:         trace-cmd:2527 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.037423068: (+8426)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.037427235: (+4167)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.037443679: (+16444) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.038973939: (+1530260) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.038979087: (+5148)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001]  9142.038994346: (+15259) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.038999439: (+5093)  sched_wakeup:         kworker/1:2:2218 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.039005328: (+5889)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2218 [120]
     kworker/1:2-2218  [001]  9142.039019476: (+14148) sched_switch:         kworker/1:2:2218 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.040304957: (+1285481) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.040308253: (+3296)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.040336420: (+28167) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.040349494: (+13074) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.040352679: (+3185)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.040371068: (+18389) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.040381624: (+10556) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.040384772: (+3148)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001]  9142.040449846: (+65074) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9142.040462494: (+12648) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9142.040465698: (+3204)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
