cpus=4
          <idle>-0     [000]  9142.037082735:          sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
           ngrok-515   [000]  9143.553316637: (+7686)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553387618: (+70981) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553392100: (+4482)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553398655: (+6555)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553469248: (+70593) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553473600: (+4352)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553480025: (+6425)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553550581: (+70556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553554988: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553561488: (+6500)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553632100: (+70612) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553636600: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553643007: (+6407)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553713655: (+70648) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553718155: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553724655: (+6500)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553795303: (+70648) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553799785: (+4482)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553806266: (+6481)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553876859: (+70593) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553881322: (+4463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553887637: (+6315)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.553933822: (+46185) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553935970: (+2148)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.553941377: (+5407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.553983192: (+41815) sched_switch:         ngrok:518 [120] S ==> ngrok:515 [120]
           ngrok-515   [000]  9143.553994637: (+11445) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603032488: (+49037851) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603037877: (+5389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.603056377: (+18500) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603209433: (+153056) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603213988: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603225025: (+11037) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603295433: (+70408) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603299914: (+4481)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603306988: (+7074)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603377544: (+70556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603381933: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603388544: (+6611)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603459099: (+70555) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603463488: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603470007: (+6519)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603540433: (+70426) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603544822: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603551340: (+6518)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603621896: (+70556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603626359: (+4463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603632747: (+6388)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603703655: (+70908) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603708062: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603714433: (+6371)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603785099: (+70666) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603789581: (+4482)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603796062: (+6481)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603866673: (+70611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603871062: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603877544: (+6482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.603948118: (+70574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.603952525: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.603958988: (+6463)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.604029692: (+70704) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.604034155: (+4463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.604040470: (+6315)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.604104581: (+64111) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.604106451: (+1870)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.604111081: (+4630)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.604141340: (+30259) sched_switch:         ngrok:518 [120] S ==> ngrok:515 [120]
           ngrok-515   [000]  9143.604152692: (+11352) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.604157359: (+4667)  sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.604160544: (+3185)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.604187747: (+27203) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.652238636: (+48050889) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.652244099: (+5463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.652257858: (+13759) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.653205118: (+947260) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.653209747: (+4629)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.653220821: (+11074) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.653291340: (+70519) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.653293266: (+1926)  sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.653298062: (+4796)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.653324970: (+26908) sched_switch:         ngrok:518 [120] S ==> ngrok:515 [120]
           ngrok-515   [000]  9143.653334821: (+9851)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.702378617: (+49043796) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.702386377: (+7760)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.702415506: (+29129) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.703202340: (+786834) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703207155: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.703220821: (+13666) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.703291673: (+70852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703296155: (+4482)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.703303858: (+7703)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.703374099: (+70241) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703378580: (+4481)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.703385914: (+7334)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.703455766: (+69852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703457692: (+1926)  sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703462192: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.703505377: (+43185) sched_switch:         ngrok:518 [120] S ==> ngrok:515 [120]
           ngrok-515   [000]  9143.703521136: (+15759) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.703525043: (+3907)  sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.703529173: (+4130)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.703556284: (+27111) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.752607691: (+49051407) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.752614025: (+6334)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.752630765: (+16740) sched_switch:         ngrok:518 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753197617: (+566852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753202210: (+4593)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753214080: (+11870) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753284562: (+70482) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753289154: (+4592)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753296043: (+6889)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753366673: (+70630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753371080: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753377691: (+6611)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753448117: (+70426) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753452506: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753459043: (+6537)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753529525: (+70482) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753533969: (+4444)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753540451: (+6482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753611043: (+70592) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753615673: (+4630)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753622043: (+6370)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.753679099: (+57056) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753680932: (+1833)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.753685469: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:518 [120]
           ngrok-518   [000]  9143.753729469: (+44000) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-518   [000]  9143.753825858: (+96389) sched_switch:         ngrok:518 [120] S ==> ngrok:515 [120]
           ngrok-515   [000]  9143.753836117: (+10259) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803198191: (+49362074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803203765: (+5574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803215506: (+11741) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803286025: (+70519) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803290673: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803298284: (+7611)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803368821: (+70537) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803373376: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803379858: (+6482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803450450: (+70592) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803454895: (+4445)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803461450: (+6555)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803531969: (+70519) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803536450: (+4481)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803542969: (+6519)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803613432: (+70463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803617950: (+4518)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803624321: (+6371)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803694895: (+70574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803699302: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803705802: (+6500)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803776376: (+70574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803780858: (+4482)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803787191: (+6333)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803857802: (+70611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803862228: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803868617: (+6389)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.803939284: (+70667) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.803943802: (+4518)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.803952525: (+8723)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.853193432: (+49240907) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.853197987: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.853207024: (+9037)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.853297580: (+90556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.853302987: (+5407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.853310043: (+7056)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.853440561: (+130518) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.853444987: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.853451543: (+6556)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.853662024: (+210481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.853666561: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.853673043: (+6482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.854043506: (+370463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.854047969: (+4463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.854054487: (+6518)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.854745117: (+690630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.854749580: (+4463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.854757117: (+7537)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.903189524: (+48432407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.903194209: (+4685)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.903202746: (+8537)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.904533191: (+1330445) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.904537857: (+4666)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.904545635: (+7778)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.953186839: (+48641204) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.953191413: (+4574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.953202117: (+10704) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.955812413: (+2610296) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.955816931: (+4518)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9143.955825079: (+8148)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.974682153: (+18857074) sched_wakeup:         systemd-udevd:163 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.974688320: (+6167)  sched_switch:         swapper/0:0 [120] R ==> systemd-udevd:163 [120]
   systemd-udevd-163   [000]  9143.974927116: (+238796) sched_switch:         systemd-udevd:163 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.982817968: (+7890852) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.982827079: (+9111)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9143.982842116: (+15037) sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.003180209: (+20338093) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.003186153: (+5944)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.003203598: (+17445) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.008373098: (+5169500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.008377931: (+4833)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.008386616: (+8685)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.053179561: (+44792945) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.053185246: (+5685)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.053197875: (+12629) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.063248116: (+10050241) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.063253153: (+5037)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.063261635: (+8482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.103174560: (+39912925) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.103179320: (+4760)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.103186912: (+7592)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.113237653: (+10050741) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.113242394: (+4741)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.113250505: (+8111)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.153170764: (+39920259) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.153175542: (+4778)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.153187449: (+11907) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.163234486: (+10047037) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.163239394: (+4908)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.163247356: (+7962)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.203167190: (+39919834) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.203172245: (+5055)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.203182986: (+10741) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.213233949: (+10050963) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.213238949: (+5000)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.213248949: (+10000) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.253164171: (+39915222) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.253168986: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.253177986: (+9000)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.263228597: (+10050611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.263233319: (+4722)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.263241282: (+7963)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9144.303160374: (+39919092) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9144.303169023: (+8649)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9144.303181467: (+12444) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
