cpus=4
          <idle>-0     [000]  9142.037082735:          sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.203673049: (+50163463) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.203678753: (+5704)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.203707901: (+29148) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.253874975: (+50167074) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.253879530: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.253889049: (+9519)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.304055067: (+50166018) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.304061012: (+5945)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.304086104: (+25092) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.354254197: (+50168093) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.354259345: (+5148)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.354268845: (+9500)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.403407585: (+49138740) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.403412530: (+4945)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.403433456: (+20926) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.453622344: (+50188888) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.453627159: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.453641252: (+14093) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.503782974: (+50141722) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.503787400: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.503810659: (+23259) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.554002677: (+50192018) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.554007492: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.554023677: (+16185) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.604160474: (+50136797) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.604164974: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.604187936: (+22962) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.653286103: (+49098167) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.653290862: (+4759)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.653299918: (+9056)  sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.703465955: (+50166037) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.703470492: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.703496992: (+26500) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.753662436: (+50165444) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.753666936: (+4500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.753681991: (+15055) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.802736732: (+49054741) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.802745565: (+8833)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.802773584: (+28019) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.803820491: (+1046907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.803825251: (+4760)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.803869899: (+44648) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.803881991: (+12092) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.803886695: (+4704)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.803911954: (+25259) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.852963639: (+49051685) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.852968917: (+5278)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.852984750: (+15833) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.854032324: (+1047574) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.854037306: (+4982)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.854064287: (+26981) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.894907806: (+40843519) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.894931102: (+23296) sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9142.894958250: (+27148) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2177  [000]  9142.894985935: (+27685) sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.903109380: (+8123445) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.903114602: (+5222)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.903131546: (+16944) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.904179750: (+1048204) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.904184287: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.904211528: (+27241) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.904223065: (+11537) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.904227269: (+4204)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.904250232: (+22963) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.914406009: (+10155777) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.914410880: (+4871)  sched_switch:         swapper/0:0 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9142.914583269: (+172389) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9142.914590676: (+7407)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9142.914665306: (+74630) sched_switch:         kworker/0:1H:67 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9142.914693250: (+27944) sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.918401880: (+3708630) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.918416509: (+14629) sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9142.918443509: (+27000) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9142.918459991: (+16482) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
