cpus=4
       trace-cmd-3532  [002] 14846.206871531:          sched_switch:         trace-cmd:3532 [120] S ==> stress:3542 [120]
           ngrok-515   [002] 14846.381745697: (+22223) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.393281215: (+11535518) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.405263234: (+11982019) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.413283548: (+8020314) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.421265752: (+7982204) sched_switch:         stress:3540 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.421634382: (+368630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.421638345: (+3963)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.421656233: (+17888) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.425291456: (+3635223) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.425302159: (+10703) sched_switch:         stress:3542 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.425338196: (+36037) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3536 [120]
          stress-3536  [002] 14846.431721937: (+6383741) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.431735122: (+13185) sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.431777733: (+42611) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.441264956: (+9487223) sched_switch:         stress:3542 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.449278400: (+8013444) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.457293493: (+8015093) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.465266659: (+7973166) sched_switch:         stress:3540 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.469890789: (+4624130) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.469895344: (+4555)  sched_switch:         stress:3542 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.471652418: (+1757074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3547  [002] 14846.471662844: (+10426) sched_switch:         trace-cmd:3547 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.471689789: (+26945) sched_switch:         ngrok:515 [120] S ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.474412863: (+2723074) sched_switch:         trace-cmd:3547 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.481292307: (+6879444) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.481740030: (+447723) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.481744770: (+4740)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.481773567: (+28797) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.489271307: (+7497740) sched_switch:         stress:3542 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.521645640: (+32374333) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.521649566: (+3926)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.521677178: (+27612) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.531728603: (+10051425) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.531732140: (+3537)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.531749826: (+17686) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.571645881: (+39896055) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.571650751: (+4870)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.571672696: (+21945) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.581728103: (+10055407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.581732048: (+3945)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.581757529: (+25481) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.597589770: (+15832241) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.597593325: (+3555)  sched_switch:         stress:3540 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.601921399: (+4328074) sched_switch:         trace-cmd:3547 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.621649159: (+19727760) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.621653066: (+3907)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.621674399: (+21333) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.631729714: (+10055315) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.631735770: (+6056)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.631761825: (+26055) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.633301473: (+1539648) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.633309251: (+7778)  sched_switch:         stress:3540 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.633350640: (+41389) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3540 [120]
          stress-3540  [002] 14846.661292436: (+27941796) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.671658677: (+10366241) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.671667936: (+9259)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.671697640: (+29704) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.681281529: (+9583889) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.681744251: (+462722) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.681748325: (+4074)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.681761732: (+13407) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.693308603: (+11546871) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.705282918: (+11974315) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.717351973: (+12069055) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.721655399: (+4303426) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.721661769: (+6370)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.721689825: (+28056) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.725480399: (+3790574) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.725483769: (+3370)  sched_switch:         stress:3542 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.729937380: (+4453611) sched_switch:         trace-cmd:3547 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.731757103: (+1819723) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.731769510: (+12407) sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.731815288: (+45778) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.741290566: (+9475278) sched_switch:         stress:3542 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.749286936: (+7996370) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.757306380: (+8019444) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.765292065: (+7985685) sched_switch:         stress:3542 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.771663010: (+6370945) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.771666732: (+3722)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.771686917: (+20185) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.781315621: (+9628704) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [002] 14846.781742454: (+426833) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3540  [002] 14846.781746954: (+4500)  sched_switch:         stress:3540 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.781774751: (+27797) sched_switch:         ngrok:515 [120] S ==> stress:3540 [120]
          stress-3540  [002] 14846.789293677: (+7518926) sched_switch:         stress:3540 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.797300343: (+8006666) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.809304306: (+12003963) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.821294713: (+11990407) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.821665584: (+370871) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.821670713: (+5129)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.821691343: (+20630) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.831748973: (+10057630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.831758639: (+9666)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.831783139: (+24500) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.841315973: (+9532834) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.841324732: (+8759)  sched_switch:         stress:3542 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14846.841363324: (+38592) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3536 [120]
          stress-3536  [002] 14846.853313528: (+11950204) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.853472658: (+159130) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.853475880: (+3222)  sched_switch:         stress:3542 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.857807473: (+4331593) sched_switch:         trace-cmd:3547 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.869300417: (+11492944) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.871675547: (+2375130) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.871684472: (+8925)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.871712417: (+27945) sched_switch:         ngrok:515 [120] S ==> stress:3542 [120]
          stress-3542  [002] 14846.881297102: (+9584685) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.881763917: (+466815) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.881768417: (+4500)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.881784732: (+16315) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.893321843: (+11537111) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.905330621: (+12008778) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.913315343: (+7984722) sched_switch:         stress:3536 [120] R ==> stress:3539 [120]
          stress-3539  [002] 14846.921315806: (+8000463) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.921670083: (+354277) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.921674732: (+4649)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
