cpus=4
          stress-3540  [000] 14846.206854679:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.206866197: (+11518) sched_switch:         stress:3540 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14846.206886623: (+20426) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:2-2863  [000] 14846.206893919: (+7296)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14846.207092068: (+198149) sched_switch:         sshd:778 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.210759827: (+3667759) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.210769105: (+9278)  sched_switch:         stress:3540 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.210779308: (+10203) sched_switch:         kworker/0:2:3318 [120] D ==> stress:3540 [120]
          stress-3540  [000] 14846.210840123: (+60815) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.210842808: (+2685)  sched_switch:         stress:3540 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.210847660: (+4852)  sched_switch:         kworker/0:2:3318 [120] D ==> stress:3540 [120]
          stress-3540  [000] 14846.210901919: (+54259) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.210904549: (+2630)  sched_switch:         stress:3540 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.210924790: (+20241) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14846.210951845: (+27055) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14846.210969753: (+17908) sched_switch:         kworker/0:2:3318 [120] D ==> stress:3540 [120]
          stress-3540  [000] 14846.210982864: (+13111) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.210986456: (+3592)  sched_switch:         stress:3540 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.211001179: (+14723) sched_switch:         kworker/0:2:3318 [120] W ==> stress:3540 [120]
          stress-3540  [000] 14846.212572364: (+1571185) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.212581494: (+9130)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.212646142: (+64648) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.212702790: (+56648) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.212738586: (+35796) sched_switch:         ksoftirqd/0:12 [120] S ==> trace-cmd:3544 [120]
       trace-cmd-3544  [000] 14846.213868605: (+1130019) sched_switch:         trace-cmd:3544 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.225278475: (+11409870) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.225283605: (+5130)  sched_switch:         stress:3540 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.225300660: (+17055) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.225830919: (+530259) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.225837605: (+6686)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.225871882: (+34277) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.225905012: (+33130) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.225961790: (+56778) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.225993993: (+32203) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.239075827: (+13081834) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.239083660: (+7833)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.239099530: (+15870) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3540 [120]
          stress-3540  [000] 14846.239105882: (+6352)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.239109345: (+3463)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.239124049: (+14704) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.239163012: (+38963) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.239176086: (+13074) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.241257475: (+2081389) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.241260493: (+3018)  sched_switch:         stress:3540 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.241286512: (+26019) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:3540 [120]
          stress-3540  [000] 14846.241300549: (+14037) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.241304586: (+4037)  sched_switch:         stress:3540 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.241312308: (+7722)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.252298160: (+10985852) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.252307882: (+9722)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.252338938: (+31056) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.252370530: (+31592) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.252418567: (+48037) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.252442456: (+23889) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3536 [120]
          stress-3536  [000] 14846.258261438: (+5818982) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3536  [000] 14846.258270901: (+9463)  sched_switch:         stress:3536 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.258307086: (+36185) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14846.258343123: (+36037) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14846.258366827: (+23704) sched_switch:         kworker/0:2:3318 [120] D ==> stress:3534 [120]
          stress-3534  [000] 14846.258378919: (+12092) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.258383660: (+4741)  sched_switch:         stress:3534 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.258402567: (+18907) sched_switch:         kworker/0:2:3318 [120] W ==> stress:3534 [120]
          stress-3534  [000] 14846.265251345: (+6848778) sched_switch:         stress:3534 [120] R ==> stress:3540 [120]
          stress-3540  [000] 14846.265527993: (+276648) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.265531734: (+3741)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.265548086: (+16352) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3540 [120]
          stress-3540  [000] 14846.265554123: (+6037)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.265557993: (+3870)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.265576234: (+18241) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.265619049: (+42815) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.265636012: (+16963) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.273257123: (+7621111) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [000] 14846.273276623: (+19500) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3536  [000] 14846.273281253: (+4630)  sched_switch:         stress:3536 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.273291512: (+10259) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3536 [120]
          stress-3536  [000] 14846.277284530: (+3993018) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          stress-3536  [000] 14846.277293715: (+9185)  sched_switch:         stress:3536 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14846.277332753: (+39038) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14846.277372271: (+39518) sched_switch:         kworker/0:2:3318 [120] W ==> stress:3534 [120]
          stress-3534  [000] 14846.278760308: (+1388037) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.278770512: (+10204) sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.278802234: (+31722) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.278835567: (+33333) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.278888419: (+52852) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.278919401: (+30982) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.285260160: (+6340759) sched_switch:         stress:3534 [120] R ==> stress:3536 [120]
          stress-3536  [000] 14846.289282104: (+4021944) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3536  [000] 14846.289286790: (+4686)  sched_switch:         stress:3536 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.289320901: (+34111) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:3540 [120]
          stress-3540  [000] 14846.289342790: (+21889) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.289348364: (+5574)  sched_switch:         stress:3540 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14846.289356808: (+8444)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.292068197: (+2711389) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.292071697: (+3500)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.292087938: (+16241) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3540 [120]
          stress-3540  [000] 14846.292094104: (+6166)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.292097382: (+3278)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.292114864: (+17482) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.292157327: (+42463) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.292173938: (+16611) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000] 14846.292182882: (+8944)  sched_switch:         ksoftirqd/0:12 [120] S ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14846.298381475: (+6198593) sched_switch:         kworker/u8:2:2863 [120] W ==> stress:3540 [120]
          stress-3540  [000] 14846.305257919: (+6876444) sched_switch:         stress:3540 [120] R ==> stress:3536 [120]
          stress-3536  [000] 14846.305320234: (+62315) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3536  [000] 14846.305331364: (+11130) sched_switch:         stress:3536 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.305365197: (+33833) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.305396549: (+31352) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.305452049: (+55500) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.305481123: (+29074) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3536 [120]
          stress-3536  [000] 14846.313273493: (+7792370) sched_switch:         stress:3536 [120] R ==> stress:3534 [120]
          stress-3534  [000] 14846.318539419: (+5265926) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.318545512: (+6093)  sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.318567363: (+21851) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.318588289: (+20926) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.318632530: (+44241) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.318650845: (+18315) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.325261456: (+6610611) sched_switch:         stress:3540 [120] R ==> stress:3534 [120]
          stress-3534  [000] 14846.331764289: (+6502833) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.331771641: (+7352)  sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.331805141: (+33500) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.331834215: (+29074) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.331883438: (+49223) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.331911456: (+28018) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3536 [120]
          stress-3536  [000] 14846.341275715: (+9364259) sched_switch:         stress:3536 [120] R ==> stress:3540 [120]
          stress-3540  [000] 14846.345010234: (+3734519) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.345019734: (+9500)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.345050586: (+30852) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.345073993: (+23407) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.345128123: (+54130) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.345151086: (+22963) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.357262586: (+12111500) sched_switch:         stress:3534 [120] R ==> stress:3540 [120]
          stress-3540  [000] 14846.358344808: (+1082222) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.358352363: (+7555)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.358381530: (+29167) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.358408030: (+26500) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.358461956: (+53926) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.358489437: (+27481) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.369262734: (+10773297) sched_switch:         stress:3540 [120] R ==> stress:3534 [120]
          stress-3534  [000] 14846.371668900: (+2406166) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.371674604: (+5704)  sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.371693956: (+19352) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.371711123: (+17167) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.371752493: (+41370) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.371768271: (+15778) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.373282604: (+1514333) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.373290011: (+7407)  sched_switch:         stress:3534 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14846.373314326: (+24315) sched_switch:         kcompactd0:43 [120] S ==> stress:3540 [120]
          stress-3540  [000] 14846.384970326: (+11656000) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.384980678: (+10352) sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.385018530: (+37852) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.385050660: (+32130) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.385103641: (+52981) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.385130734: (+27093) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.397264882: (+12134148) sched_switch:         stress:3534 [120] R ==> stress:3540 [120]
          stress-3540  [000] 14846.401519826: (+4254944) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3540  [000] 14846.401528234: (+8408)  sched_switch:         stress:3540 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.401560326: (+32092) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.401583085: (+22759) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.401639456: (+56371) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.401663808: (+24352) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.414759178: (+13095370) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.414764715: (+5537)  sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.414782326: (+17611) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3534 [120]
          stress-3534  [000] 14846.414789085: (+6759)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.414792733: (+3648)  sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.414808233: (+15500) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.414849122: (+40889) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.414865993: (+16871) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
          stress-3534  [000] 14846.427987604: (+13121611) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3534  [000] 14846.428000752: (+13148) sched_switch:         stress:3534 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14846.428060437: (+59685) sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14846.428121641: (+61204) sched_switch:         kworker/0:1H:67 [100] D ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14846.428148789: (+27148) sched_switch:         ksoftirqd/0:12 [120] S ==> stress:3534 [120]
