cpus=4
       trace-cmd-2670  [001]  9208.305195390:          sched_switch:         trace-cmd:2670 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.574388388: (+8148)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9213.574409332: (+20944) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.574419610: (+10278) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9213.574423721: (+4111)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9213.574433388: (+9667)  sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9213.765015128: (+190581740) sched_wakeup:         trace-cmd:2670 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9213.765020017: (+4889)  sched_switch:         swapper/1:0 [120] R ==> trace-cmd:2670 [120]
       trace-cmd-2670  [001]  9213.768995924: (+3975907) sched_switch:         trace-cmd:2670 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9214.598235236: (+829239312) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9214.598244736: (+9500)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9214.598274588: (+29852) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9214.598282643: (+8055)  sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9214.598286791: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9214.598300588: (+13797) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9215.014336549: (+416035961) sched_switch:         swapper/1:0 [120] R ==> kthreadd:2671 [120]
     kworker/2:0-2671  [001]  9215.014343845: (+7296)  sched_switch:         kthreadd:2671 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9215.462223196: (+447879351) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9215.462227492: (+4296)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9215.462239140: (+11648) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9215.462246659: (+7519)  sched_wakeup:         trace-cmd:2668 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9215.462249899: (+3240)  sched_switch:         swapper/1:0 [120] R ==> trace-cmd:2668 [120]
       trace-cmd-2668  [001]  9215.462260307: (+10408) sched_switch:         trace-cmd:2668 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9215.622090991: (+159830684) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9215.622099306: (+8315)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9215.622120454: (+21148) sched_switch:         kworker/1:0:2611 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001]  9215.622131102: (+10648) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9215.622135195: (+4093)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9215.622145917: (+10722) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001]  9216.445998359: (+823852442) sched_wakeup:         trace-cmd:2670 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9216.446002877: (+4518)  sched_switch:         swapper/1:0 [120] R ==> trace-cmd:2670 [120]
       trace-cmd-2670  [001]  9216.450026396: (+4023519) sched_switch:         trace-cmd:2670 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001]  9216.600032302: (+150005906) sched_wakeup:         sleep:2666 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9216.600038006: (+5704)  sched_switch:         swapper/1:0 [120] R ==> sleep:2666 [120]
           sleep-2666  [001]  9216.600324154: (+286148) sched_switch:         sleep:2666 [120] X ==> swapper/1:0 [120]
          <idle>-0     [001]  9216.600336858: (+12704) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001]  9216.600339469: (+2611)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9216.600359525: (+20056) sched_switch:         kworker/1:0:2611 [120] W ==> swapper/1:0 [120]
