cpus=4
       trace-cmd-2669  [000]  9208.304947649:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.344806834: (+35111) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.345487001: (+680167) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.345490834: (+3833)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.345503889: (+13055) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.345852371: (+348482) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.345856056: (+3685)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.345880908: (+24852) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.345902260: (+21352) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9208.345921019: (+18759) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-517   [000]  9208.345932889: (+11870) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [000]  9208.345960352: (+27463) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.351117130: (+5156778) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.351123019: (+5889)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9208.351138815: (+15796) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.351148760: (+9945)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.351152019: (+3259)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9208.351158575: (+6556)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.355553982: (+4395407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.355558723: (+4741)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.355568723: (+10000) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.395004667: (+39435944) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.395009297: (+4630)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.395023723: (+14426) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.395475963: (+452240) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.395481463: (+5500)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.395489148: (+7685)  sched_wakeup:         trace-cmd:2667 [120]<CANT FIND FIELD success> CPU:000
           ngrok-515   [000]  9208.395499500: (+10352) sched_switch:         ngrok:515 [120] S ==> trace-cmd:2667 [120]
       trace-cmd-2667  [000]  9208.395510778: (+11278) sched_switch:         trace-cmd:2667 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.396072723: (+561945) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.396077574: (+4851)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.396090574: (+13000) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.396103408: (+12834) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9208.396114871: (+11463) sched_switch:         ngrok:517 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.405549815: (+9434944) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.405554982: (+5167)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.405564074: (+9092)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.431116796: (+25552722) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.431126019: (+9223)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9208.431138019: (+12000) sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.445146778: (+14008759) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.445151482: (+4704)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.445166259: (+14777) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.445468408: (+302149) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.445472796: (+4388)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.445481630: (+8834)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.446215130: (+733500) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.446219908: (+4778)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.446234185: (+14277) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.446244926: (+10741) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9208.446256130: (+11204) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-517   [000]  9208.446263630: (+7500)  sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [000]  9208.446285500: (+21870) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
