cpus=4
       trace-cmd-2665  [002]  9208.304713575:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-2665  [002]  9208.304725519: (+11944) sched_switch:         trace-cmd:2665 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9208.304745908: (+20389) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9208.304754797: (+8889)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [002]  9208.304965575: (+210778) sched_switch:         sshd:778 [120] S ==> trace-cmd:2665 [120]
       trace-cmd-2665  [002]  9208.304972945: (+7370)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-2665  [002]  9208.304977334: (+4389)  sched_switch:         trace-cmd:2665 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9208.304983612: (+6278)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9208.304987945: (+4333)  sched_switch:         kworker/u8:2:2035 [120] W ==> sshd:778 [120]
            sshd-778   [002]  9208.305049130: (+61185) sched_switch:         sshd:778 [120] S ==> trace-cmd:2665 [120]
       trace-cmd-2665  [002]  9208.305082501: (+33371) sched_switch:         trace-cmd:2665 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9208.305155149: (+72648) sched_wakeup:         kworker/u9:1:263 [100]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9208.305160482: (+5333)  sched_switch:         swapper/2:0 [120] R ==> kworker/u9:1:263 [100]
    kworker/u9:1-263   [002]  9208.305170778: (+10296) sched_switch:         kworker/u9:1:263 [100] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9208.327122927: (+21952149) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9208.327132093: (+9166)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9208.327154315: (+22222) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9208.335121704: (+7967389) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9208.335133426: (+11722) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
