cpus=4
       trace-cmd-3493  [002] 14812.272460290:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3493  [002] 14812.272472993: (+12703) sched_switch:         trace-cmd:3493 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14812.272496845: (+23852) sched_switch:         kworker/u8:1:2871 [120] W ==> trace-cmd:3493 [120]
       trace-cmd-3493  [002] 14812.272501123: (+4278)  sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3493  [002] 14812.272504993: (+3870)  sched_switch:         trace-cmd:3493 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14812.272511549: (+6556)  sched_switch:         kworker/u8:1:2871 [120] W ==> trace-cmd:3493 [120]
       trace-cmd-3493  [002] 14812.272530493: (+18944) sched_switch:         trace-cmd:3493 [120] S ==> trace-cmd:3498 [120]
       trace-cmd-3498  [002] 14812.273004697: (+474204) sched_switch:         trace-cmd:3498 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14812.274918141: (+1913444) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14812.274923030: (+4889)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14812.274934567: (+11537) sched_switch:         kworker/2:1:3243 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14812.279302679: (+4368112) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14812.279306993: (+4314)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14812.279331604: (+24611) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14812.302869012: (+23537408) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14812.302878290: (+9278)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14812.302900549: (+22259) sched_switch:         kworker/2:1:3243 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14812.306870660: (+3970111) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14812.306876604: (+5944)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14812.306895512: (+18908) sched_switch:         kworker/2:1:3243 [120] W ==> swapper/2:0 [120]
