cpus=4
          <idle>-0     [001] 14812.272499604:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.366967230: (+12370) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.366970452: (+3222)  sched_switch:         ngrok:517 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366980100: (+9648)  sched_switch:         kworker/u9:3:569 [100] W ==> ngrok:517 [120]
           ngrok-517   [001] 14813.366996193: (+16093) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.368725323: (+1729130) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.368730137: (+4814)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.368755582: (+25445) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.368769082: (+13500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.368773360: (+4278)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.368789989: (+16629) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.368802360: (+12371) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.368806545: (+4185)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.368854711: (+48166) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.368868045: (+13334) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.368872360: (+4315)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.368895693: (+23333) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.368915100: (+19407) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.368919415: (+4315)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.368934415: (+15000) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369672656: (+738241) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369676804: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369700637: (+23833) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369714230: (+13593) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369718415: (+4185)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369734934: (+16519) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369747119: (+12185) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369751267: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369796989: (+45722) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369810563: (+13574) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369814897: (+4334)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369823489: (+8592)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.369843267: (+19778) sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
           ngrok-517   [001] 14813.369854267: (+11000) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369861397: (+7130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369865360: (+3963)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369880304: (+14944) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.369894397: (+14093) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.369898360: (+3963)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369907637: (+9277)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.369929174: (+21537) sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
           ngrok-517   [001] 14813.369950637: (+21463) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.369954545: (+3908)  sched_switch:         ngrok:517 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.369962730: (+8185)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.369986785: (+24055) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14813.369992248: (+5463)  sched_switch:         ksoftirqd/1:18 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14813.370001582: (+9334)  sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.370008934: (+7352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.370013341: (+4407)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.370028211: (+14870) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414223008: (+44194797) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414227933: (+4925)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414242415: (+14482) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414250563: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414254896: (+4333)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414264952: (+10056) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414271970: (+7018)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414276211: (+4241)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414303619: (+27408) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414316267: (+12648) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414320545: (+4278)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414340896: (+20351) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414351785: (+10889) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414356063: (+4278)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414427248: (+71185) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.414439267: (+12019) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.414443637: (+4370)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.414451785: (+8148)  sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.415019637: (+567852) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.415023952: (+4315)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.415048545: (+24593) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.415062156: (+13611) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.415066322: (+4166)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.415082619: (+16297) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.415095119: (+12500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.415099378: (+4259)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.415138470: (+39092) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.415150619: (+12149) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.415155008: (+4389)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.415162563: (+7555)  sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.419340341: (+4177778) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.419344989: (+4648)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.419376285: (+31296) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.458984063: (+39607778) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.458996804: (+12741) sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.459012489: (+15685) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.459021341: (+8852)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.459025581: (+4240)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.459034748: (+9167)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.459042433: (+7685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.459046618: (+4185)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.459074581: (+27963) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.459093378: (+18797) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.459097581: (+4203)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.459108674: (+11093) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.469506341: (+10397667) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.469510933: (+4592)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.469535285: (+24352) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.519739729: (+50204444) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.519745470: (+5741)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.519775433: (+29963) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.569924525: (+50149092) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.569929229: (+4704)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.569950988: (+21759) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.620105396: (+50154408) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.620110173: (+4777)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.620138914: (+28741) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.670344562: (+50205648) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.670349766: (+5204)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.670378303: (+28537) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.719522043: (+49143740) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.719526636: (+4593)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.719551414: (+24778) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.769709321: (+50157907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.769714377: (+5056)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.769745043: (+30666) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.819913599: (+50168556) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.819918210: (+4611)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.819939599: (+21389) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.870159876: (+50220277) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.870165006: (+5130)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.870183209: (+18203) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.919231320: (+49048111) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.919236839: (+5519)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.919252635: (+15796) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.920299839: (+1047204) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.920304802: (+4963)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.920335339: (+30537) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.920346265: (+10926) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.920350728: (+4463)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.920376080: (+25352) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.968426042: (+48049962) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.968431320: (+5278)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.968444950: (+13630) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.969493265: (+1048315) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.969498079: (+4814)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.969523579: (+25500) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.969533487: (+9908)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.969537968: (+4481)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.969558728: (+20760) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.018615987: (+49057259) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.018623376: (+7389)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.018646857: (+23481) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.019694764: (+1047907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.019699579: (+4815)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.019742394: (+42815) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.019750042: (+7648)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.019754542: (+4500)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.019779042: (+24500) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.068829987: (+49050945) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.068836024: (+6037)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.068850838: (+14814) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.069899061: (+1048223) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.069904024: (+4963)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.069929246: (+25222) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.069938172: (+8926)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.069942598: (+4426)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.069962079: (+19481) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.119013079: (+49051000) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.119019134: (+6055)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.119042671: (+23537) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.120089727: (+1047056) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.120094560: (+4833)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.120132949: (+38389) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.120143412: (+10463) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.120147820: (+4408)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.120171171: (+23351) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.169221356: (+49050185) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.169226597: (+5241)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.169241968: (+15371) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.170290005: (+1048037) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.170294819: (+4814)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.170321394: (+26575) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.170330208: (+8814)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.170334671: (+4463)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.170356690: (+22019) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.218407060: (+48050370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.218412356: (+5296)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.218429245: (+16889) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.219477393: (+1048148) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.219482134: (+4741)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.219510634: (+28500) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.219517986: (+7352)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.219522467: (+4481)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.219543893: (+21426) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.243011875: (+23467982) sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.243029097: (+17222) sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14814.243065078: (+35981) sched_switch:         kworker/1:0:3465 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.243081041: (+15963) sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.243085597: (+4556)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14814.243099782: (+14185) sched_switch:         kworker/1:0:3465 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.268595801: (+25496019) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.268601208: (+5407)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.268629745: (+28537) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.269676245: (+1046500) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.269681115: (+4870)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.269720282: (+39167) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.269730486: (+10204) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.269734856: (+4370)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.269760319: (+25463) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.318810800: (+49050481) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.318816393: (+5593)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.318832245: (+15852) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.319880134: (+1047889) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.319885078: (+4944)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.319912930: (+27852) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.319920652: (+7722)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.319925060: (+4408)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.319945819: (+20759) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.369002282: (+49056463) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.369010337: (+8055)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.369035300: (+24963) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.370082634: (+1047334) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.370087411: (+4777)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.370126467: (+39056) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.370134948: (+8481)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.370139467: (+4519)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.370163800: (+24333) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.419214152: (+49050352) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.419219411: (+5259)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.419234485: (+15074) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.420282967: (+1048482) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.420287707: (+4740)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.420315911: (+28204) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14814.420323615: (+7704)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14814.420327874: (+4259)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14814.420349263: (+21389) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
