cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.925149380: (+11186) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.925153769: (+4389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14880.925174750: (+20981) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.974226861: (+49052111) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.974231676: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14880.974244157: (+12481) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14880.975292916: (+1048759) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14880.975297694: (+4778)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14880.975317861: (+20167) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.023366731: (+48048870) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.023371490: (+4759)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.023383805: (+12315) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.024432824: (+1049019) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.024437564: (+4740)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.024458268: (+20704) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.024467787: (+9519)  sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.024472138: (+4351)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.024491879: (+19741) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.073540398: (+49048519) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.073545435: (+5037)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.073557675: (+12240) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.074606620: (+1048945) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
