cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14883.330249130: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330257204: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330260148: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330268722: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330276796: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330279759: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330288296: (+8537)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330296519: (+8223)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330299463: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330308241: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330316370: (+8129)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330319333: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330332926: (+13593) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330341093: (+8167)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330344056: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330352611: (+8555)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330360556: (+7945)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330363482: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330372259: (+8777)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330380315: (+8056)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330383222: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330391926: (+8704)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330399982: (+8056)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330402889: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330411463: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330419370: (+7907)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330422315: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330430889: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330439000: (+8111)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330441926: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330455352: (+13426) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330463556: (+8204)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330466500: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330475037: (+8537)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330483037: (+8000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330485926: (+2889)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330494759: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330502889: (+8130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330506000: (+3111)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330514759: (+8759)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330522833: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330525833: (+3000)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330534426: (+8593)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330542407: (+7981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330545333: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330554000: (+8667)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330562074: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330564963: (+2889)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330578426: (+13463) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330586611: (+8185)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330589593: (+2982)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330598167: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330606111: (+7944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330609037: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330617870: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330625945: (+8075)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330628870: (+2925)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330637667: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330645630: (+7963)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330648537: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330657093: (+8556)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330665074: (+7981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330668630: (+3556)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330677241: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330685352: (+8111)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330688296: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330701963: (+13667) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330710167: (+8204)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330713259: (+3092)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330721852: (+8593)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330729833: (+7981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330732778: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330741630: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330749778: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330752685: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330761296: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330769315: (+8019)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330772241: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330781019: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330789111: (+8092)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330791982: (+2871)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330800593: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330808611: (+8018)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330811482: (+2871)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330824963: (+13481) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330833204: (+8241)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330836093: (+2889)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330844667: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330852593: (+7926)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330855537: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330864500: (+8963)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330872574: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330875482: (+2908)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330884130: (+8648)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330892130: (+8000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330895074: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330903667: (+8593)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330911741: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330914759: (+3018)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330923407: (+8648)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330931389: (+7982)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330934315: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330947945: (+13630) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330956167: (+8222)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330959185: (+3018)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330967704: (+8519)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330975685: (+7981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330978667: (+2982)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.330987537: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.330995556: (+8019)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.330998500: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331007130: (+8630)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331015111: (+7981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331018037: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331026815: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331034685: (+7870)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331037556: (+2871)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331046130: (+8574)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331054093: (+7963)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331057000: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331070574: (+13574) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331078852: (+8278)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331081815: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331090445: (+8630)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331098389: (+7944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331101278: (+2889)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331110259: (+8981)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331118407: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331121352: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331130074: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331138111: (+8037)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331141704: (+3593)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331150370: (+8666)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331158426: (+8056)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331161407: (+2981)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331170185: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331178241: (+8056)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331181204: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331194593: (+13389) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331202741: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331205759: (+3018)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331214370: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331222370: (+8000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331225389: (+3019)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331234222: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331242389: (+8167)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331245333: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331254019: (+8686)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331262111: (+8092)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331265056: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331273685: (+8629)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331281759: (+8074)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331284685: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331293204: (+8519)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331301130: (+7926)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331304074: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331317593: (+13519) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331325963: (+8370)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331328982: (+3019)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331337778: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331346019: (+8241)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331348852: (+2833)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331357574: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331365704: (+8130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331368630: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331377241: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331385259: (+8018)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331388204: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331396815: (+8611)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331404852: (+8037)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331407722: (+2870)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331416407: (+8685)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331424482: (+8075)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331427426: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331440907: (+13481) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331449074: (+8167)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331452000: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331460593: (+8593)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331469037: (+8444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331471945: (+2908)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331480796: (+8851)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331488945: (+8149)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331491907: (+2962)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331500593: (+8686)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331508648: (+8055)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331511556: (+2908)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331520296: (+8740)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331528352: (+8056)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331531315: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331539907: (+8592)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331548000: (+8093)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331550945: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331564426: (+13481) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331572630: (+8204)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331575593: (+2963)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331584370: (+8777)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331592463: (+8093)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331595500: (+3037)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331604259: (+8759)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331612407: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331615982: (+3575)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331624704: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331632852: (+8148)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331635833: (+2981)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331644574: (+8741)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331652667: (+8093)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331655593: (+2926)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331664222: (+8629)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331672241: (+8019)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331675185: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331688611: (+13426) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14883.331696741: (+8130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14883.331699685: (+2944)  sched_switch:         swapper/0:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14883.331708315: (+8630)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/0:0 [120]
