cpus=4
       trace-cmd-3631  [001] 14880.765466528:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-3631  [001] 14880.765478769: (+12241) sched_switch:         trace-cmd:3631 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [001] 14880.765495973: (+17204) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2863  [001] 14880.765503843: (+7870)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [001] 14880.765712380: (+208537) sched_switch:         sshd:778 [120] S ==> trace-cmd:3631 [120]
       trace-cmd-3631  [001] 14880.765718751: (+6371)  sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-3631  [001] 14880.765722751: (+4000)  sched_switch:         trace-cmd:3631 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [001] 14880.765729232: (+6481)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2863  [001] 14880.765733917: (+4685)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [001] 14880.765792195: (+58278) sched_switch:         sshd:778 [120] S ==> trace-cmd:3631 [120]
       trace-cmd-3631  [001] 14880.765817584: (+25389) sched_switch:         trace-cmd:3631 [120] S ==> trace-cmd:3636 [120]
       trace-cmd-3636  [001] 14880.766320417: (+502833) sched_switch:         trace-cmd:3636 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.767932473: (+1612056) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.767937677: (+5204)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14880.767951825: (+14148) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.773468806: (+5516981) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.773473195: (+4389)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.773511639: (+38444) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.774280417: (+768778) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.774284639: (+4222)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14880.774301102: (+16463) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.774556639: (+255537) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.774560325: (+3686)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.774584639: (+24314) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14880.774608991: (+24352) sched_switch:         ngrok:552 [120] S ==> ngrok:553 [120]
           ngrok-553   [001] 14880.774627510: (+18519) sched_switch:         ngrok:553 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.775914417: (+1286907) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.775919288: (+4871)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14880.775932806: (+13518) sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.783918047: (+7985241) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.783923880: (+5833)  sched_switch:         swapper/1:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14880.783932658: (+8778)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.784351732: (+419074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.784355454: (+3722)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14880.784365936: (+10482) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.787914862: (+3548926) sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.787922825: (+7963)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14880.787946028: (+23203) sched_switch:         kworker/1:0:3465 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.795914380: (+7968352) sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.795923121: (+8741)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14880.795931806: (+8685)  sched_switch:         kworker/1:0:3465 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.799915528: (+3983722) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.799919788: (+4260)  sched_switch:         swapper/1:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14880.799937288: (+17500) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.799947158: (+9870)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.799951325: (+4167)  sched_switch:         swapper/1:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [001] 14880.799957806: (+6481)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.823659621: (+23701815) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.823664361: (+4740)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.823681121: (+16760) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.824281602: (+600481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.824286158: (+4556)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14880.824295639: (+9481)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.824729806: (+434167) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.824734454: (+4648)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.824749380: (+14926) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14880.824760436: (+11056) sched_switch:         ngrok:552 [120] S ==> ngrok:553 [120]
           ngrok-553   [001] 14880.824777269: (+16833) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-553   [001] 14880.824787102: (+9833)  sched_switch:         ngrok:553 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14880.824813676: (+26574) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.834346602: (+9532926) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.834351343: (+4741)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14880.834360806: (+9463)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.873860195: (+39499389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.873864713: (+4518)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.873878046: (+13333) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.874284972: (+406926) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.874289417: (+4445)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14880.874297917: (+8500)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14880.874927009: (+629092) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14880.874932676: (+5667)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14880.874951769: (+19093) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14880.875079380: (+127611) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
