cpus=4
       trace-cmd-3635  [002] 14880.765902139:          sched_wakeup:         kworker/u9:1:263 [100]<CANT FIND FIELD success> CPU:002
       trace-cmd-3635  [002] 14880.765908658: (+6519)  sched_switch:         trace-cmd:3635 [120] R ==> kworker/u9:1:263 [100]
    kworker/u9:1-263   [002] 14880.765916158: (+7500)  sched_switch:         kworker/u9:1:263 [100] W ==> trace-cmd:3635 [120]
       trace-cmd-3635  [002] 14880.765943602: (+27444) sched_switch:         trace-cmd:3635 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.875069713: (+109126111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.875075287: (+5574)  sched_switch:         swapper/2:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14880.875092435: (+17148) sched_switch:         ngrok:555 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.925130472: (+50038037) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.925135269: (+4797)  sched_switch:         swapper/2:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14880.925153861: (+18592) sched_switch:         ngrok:555 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.951929787: (+26775926) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.951941842: (+12055) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14880.951962713: (+20871) sched_switch:         kworker/2:1:3243 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.967926454: (+15963741) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.967934398: (+7944)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14880.967947102: (+12704) sched_switch:         kworker/2:1:3243 [120] D ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.967953935: (+6833)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.967958602: (+4667)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14880.967968454: (+9852)  sched_switch:         kworker/2:1:3243 [120] D ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.967974916: (+6462)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.967979268: (+4352)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14880.967989528: (+10260) sched_switch:         kworker/2:1:3243 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14880.975309305: (+7319777) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14880.975313916: (+4611)  sched_switch:         swapper/2:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14880.975322342: (+8426)  sched_switch:         ngrok:555 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14881.024451379: (+49129037) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14881.024455916: (+4537)  sched_switch:         swapper/2:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14881.024471583: (+15667) sched_switch:         ngrok:555 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14881.074620601: (+50149018) sched_wakeup:         trace-cmd:3633 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14881.074625416: (+4815)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:3633 [120]
