cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.293973972: (+18222) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.293977101: (+3129)  sched_switch:         stress:3672 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.293999213: (+22112) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3672 [120]
          stress-3672  [000] 14905.294014305: (+15092) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.294016787: (+2482)  sched_switch:         stress:3672 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.294029046: (+12259) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3672 [120]
          stress-3672  [000] 14905.305185861: (+11156815) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.306722768: (+1536907) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.306726601: (+3833)  sched_switch:         stress:3678 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.306736342: (+9741)  sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14905.306763509: (+27167) sched_switch:         kworker/u8:1:2871 [120] W ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14905.306768601: (+5092)  sched_switch:         kworker/u8:2:2863 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.308630805: (+1862204) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.308640675: (+9870)  sched_switch:         stress:3678 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14905.308693972: (+53297) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14905.308736361: (+42389) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14905.308759842: (+23481) sched_switch:         kworker/0:0:2872 [120] D ==> stress:3678 [120]
          stress-3678  [000] 14905.308773564: (+13722) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.308778435: (+4871)  sched_switch:         stress:3678 [120] R ==> kworker/0:0:2872 [120]
