cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.293801379: (+4547778) sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.293806176: (+4797)  sched_switch:         stress:3674 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.293826713: (+20537) sched_switch:         kworker/2:0H:3548 [100] R ==> stress:3680 [120]
          stress-3680  [002] 14905.293833139: (+6426)  sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.293837046: (+3907)  sched_switch:         stress:3680 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.293868620: (+31574) sched_switch:         kworker/2:0H:3548 [100] D ==> stress:3680 [120]
          stress-3680  [002] 14905.293961083: (+92463) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.293963731: (+2648)  sched_switch:         stress:3680 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.293982101: (+18370) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.294003231: (+21130) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.294005472: (+2241)  sched_switch:         stress:3680 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.294015898: (+10426) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.294025268: (+9370)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.294027435: (+2167)  sched_switch:         stress:3680 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.294056490: (+29055) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.294094324: (+37834) sched_wakeup:         kworker/2:2H:2897 [100]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.294097101: (+2777)  sched_switch:         stress:3680 [120] R ==> kworker/2:2H:2897 [100]
    kworker/2:2H-2897  [002] 14905.294104731: (+7630)  sched_switch:         kworker/2:2H:2897 [100] W ==> stress:3680 [120]
          stress-3680  [002] 14905.299151176: (+5046445) sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.299154083: (+2907)  sched_switch:         stress:3680 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.299167138: (+13055) sched_switch:         kworker/2:0H:3548 [100] D ==> stress:3677 [120]
          stress-3677  [002] 14905.299171824: (+4686)  sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.299175731: (+3907)  sched_switch:         stress:3677 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.299186972: (+11241) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:0H-3548  [002] 14905.299197416: (+10444) sched_switch:         kworker/2:0H:3548 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14905.299212824: (+15408) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002] 14905.299220157: (+7333)  sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14905.299227046: (+6889)  sched_switch:         stress:3679 [120] D ==> stress:3677 [120]
          stress-3677  [002] 14905.301223546: (+1996500) sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.301226842: (+3296)  sched_switch:         stress:3677 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.301244787: (+17945) sched_switch:         kworker/2:0H:3548 [100] D ==> stress:3677 [120]
          stress-3677  [002] 14905.301249231: (+4444)  sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.301251527: (+2296)  sched_switch:         stress:3677 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.301266657: (+15130) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:0H-3548  [002] 14905.301289750: (+23093) sched_switch:         kworker/2:0H:3548 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14905.301308750: (+19000) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002] 14905.301316824: (+8074)  sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14905.301323731: (+6907)  sched_switch:         stress:3679 [120] D ==> stress:3677 [120]
          stress-3677  [002] 14905.306554935: (+5231204) sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.306560787: (+5852)  sched_switch:         stress:3677 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.306582361: (+21574) sched_switch:         kworker/2:0H:3548 [100] R ==> stress:3674 [120]
          stress-3674  [002] 14905.306588472: (+6111)  sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.306592620: (+4148)  sched_switch:         stress:3674 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.306608972: (+16352) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:0H-3548  [002] 14905.306620972: (+12000) sched_switch:         kworker/2:0H:3548 [100] W ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14905.306644120: (+23148) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002] 14905.306652620: (+8500)  sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14905.306665861: (+13241) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.306671324: (+5463)  sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.306678805: (+7481)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.306738361: (+59556) sched_switch:         stress:3673 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.306747879: (+9518)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.306760842: (+12963) sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.306766805: (+5963)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.306804694: (+37889) sched_switch:         stress:3673 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.306832027: (+27333) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14905.311572009: (+4739982) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.311574287: (+2278)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.311577305: (+3018)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.311580824: (+3519)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.311655064: (+74240) sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.311665805: (+10741) sched_switch:         stress:3673 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.311678453: (+12648) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.311696342: (+17889) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.311698916: (+2574)  sched_switch:         stress:3680 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.311705138: (+6222)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.311715675: (+10537) sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.311719046: (+3371)  sched_switch:         stress:3673 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.321158638: (+9439592) sched_switch:         stress:3680 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14905.321165712: (+7074)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.321166805: (+1093)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.321170157: (+3352)  sched_switch:         stress:3677 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [002] 14905.321178361: (+8204)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14905.321182527: (+4166)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.321225157: (+42630) sched_switch:         stress:3673 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.321229712: (+4555)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.321236490: (+6778)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.321258712: (+22222) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.321282694: (+23982) sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.321288935: (+6241)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.324562175: (+3273240) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.324566972: (+4797)  sched_switch:         stress:3673 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.324611620: (+44648) sched_switch:         ngrok:555 [120] S ==> stress:3676 [120]
