cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.985161803: (+9366778) sched_switch:         stress:3677 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14905.993158543: (+7996740) sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.993174025: (+15482) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.997147525: (+3973500) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.005145210: (+7997685) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.013143691: (+7998481) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.021145525: (+8001834) sched_switch:         stress:3676 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.024853321: (+3707796) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.024863488: (+10167) sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.024905451: (+41963) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.025950951: (+1045500) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.025957395: (+6444)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.025984876: (+27481) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.026008599: (+23723) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.026025654: (+17055) sched_switch:         ngrok:553 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14906.033142988: (+7117334) sched_switch:         stress:3679 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.041162858: (+8019870) sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.045152969: (+3990111) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.045187913: (+34944) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.061170506: (+15982593) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.061179691: (+9185)  sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14906.061215580: (+35889) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3674 [120]
          stress-3674  [002] 14906.069178895: (+7963315) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.069185413: (+6518)  sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.069202099: (+16686) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.069213524: (+11425) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.069244561: (+31037) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.073874784: (+4630223) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.073876524: (+1740)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.073879950: (+3426)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.073958858: (+78908) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.073970654: (+11796) sched_switch:         stress:3676 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.074011080: (+40426) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.074014265: (+3185)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.074032321: (+18056) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.075061932: (+1029611) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.075069691: (+7759)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.075115802: (+46111) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.076165339: (+1049537) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.076171265: (+5926)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.076207728: (+36463) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.076231987: (+24259) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.076255636: (+23649) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14906.076270487: (+14851) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14906.076298765: (+28278) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.079471932: (+3173167) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.079476969: (+5037)  sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.079483302: (+6333)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.079529524: (+46222) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.079559524: (+30000) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.080636006: (+1076482) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.080640358: (+4352)  sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.080647765: (+7407)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.080652561: (+4796)  sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.080657006: (+4445)  sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.089174969: (+8517963) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.089179080: (+4111)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.089183117: (+4037)  sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14906.089195469: (+12352) sched_switch:         kworker/2:1:3243 [120] W ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14906.089219432: (+23963) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.107296672: (+18077240) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.107301580: (+4908)  sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.107313598: (+12018) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.107346135: (+32537) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.107380339: (+34204) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.112396191: (+5015852) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.112398209: (+2018)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.112401839: (+3630)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.112491728: (+89889) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.112503913: (+12185) sched_switch:         stress:3676 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.112565358: (+61445) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.112568172: (+2814)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.112577765: (+9593)  sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.117184117: (+4606352) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.117194876: (+10759) sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14906.117216080: (+21204) sched_switch:         rcu_preempt:13 [120] W ==> stress:3674 [120]
          stress-3674  [002] 14906.125163543: (+7947463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.125201395: (+37852) sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14906.125222246: (+20851) sched_switch:         rcu_preempt:13 [120] W ==> stress:3672 [120]
          stress-3672  [002] 14906.125350339: (+128093) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.125356709: (+6370)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.125431802: (+75093) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14906.125452969: (+21167) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.125456524: (+3555)  sched_switch:         stress:3678 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.125470524: (+14000) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.125545635: (+75111) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.125557654: (+12019) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.125585580: (+27926) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.125592395: (+6815)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.126475765: (+883370) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.126485098: (+9333)  sched_switch:         stress:3679 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.126536321: (+51223) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.126574469: (+38148) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.126601098: (+26629) sched_switch:         ngrok:553 [120] S ==> stress:3676 [120]
          stress-3676  [002] 14906.133145450: (+6544352) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.133151598: (+6148)  sched_switch:         stress:3676 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14906.133163783: (+12185) sched_switch:         rcu_preempt:13 [120] W ==> stress:3679 [120]
          stress-3679  [002] 14906.141141820: (+7978037) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.141147043: (+5223)  sched_switch:         stress:3679 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14906.141158543: (+11500) sched_switch:         rcu_preempt:13 [120] W ==> stress:3676 [120]
          stress-3676  [002] 14906.145210080: (+4051537) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.146231635: (+1021555) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.151087839: (+4856204) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.151094376: (+6537)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.151167339: (+72963) sched_switch:         stress:3679 [120] D ==> stress:3678 [120]
          stress-3678  [002] 14906.153493524: (+2326185) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.157151524: (+3658000) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14906.161147413: (+3995889) sched_switch:         stress:3672 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.161166061: (+18648) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.161188783: (+22722) sched_switch:         stress:3676 [120] D ==> stress:3672 [120]
          stress-3672  [002] 14906.163352524: (+2163741) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.163355080: (+2556)  sched_switch:         stress:3672 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.163359006: (+3926)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.163388969: (+29963) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.163395617: (+6648)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.163416765: (+21148) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.163433524: (+16759) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.165462987: (+2029463) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.165466617: (+3630)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.165469654: (+3037)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.165476969: (+7315)  sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.165482154: (+5185)  sched_switch:         stress:3676 [120] D ==> stress:3678 [120]
          stress-3678  [002] 14906.173139376: (+7657222) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14906.174632283: (+1492907) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.174642524: (+10241) sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.174690043: (+47519) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.175739339: (+1049296) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.175751857: (+12518) sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.175788894: (+37037) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.175815061: (+26167) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.175839339: (+24278) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14906.175853394: (+14055) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14906.175883098: (+29704) sched_switch:         ngrok:555 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14906.177569265: (+1686167) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.177571543: (+2278)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.177574580: (+3037)  sched_switch:         stress:3672 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.177660394: (+85814) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.177673450: (+13056) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.177716172: (+42722) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.177721098: (+4926)  sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.177738746: (+17648) sched_switch:         stress:3676 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.183151043: (+5412297) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.183157598: (+6555)  sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.183164617: (+7019)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.183202450: (+37833) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14906.183222617: (+20167) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.189141820: (+5919203) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.197159487: (+8017667) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.201160431: (+4000944) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.205142820: (+3982389) sched_switch:         stress:3679 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14906.209142746: (+3999926) sched_switch:         stress:3672 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.213140246: (+3997500) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.213149061: (+8815)  sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.221170876: (+8021815) sched_switch:         stress:3674 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14906.224942098: (+3771222) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14906.224950579: (+8481)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.225026172: (+75593) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14906.226058876: (+1032704) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.226063116: (+4240)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.226092376: (+29260) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.226118987: (+26611) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.226136635: (+17648) sched_switch:         ngrok:553 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14906.233143302: (+7006667) sched_switch:         stress:3678 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.233201987: (+58685) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.237147616: (+3945629) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.245138802: (+7991186) sched_switch:         stress:3679 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14906.249148283: (+4009481) sched_switch:         stress:3672 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.249207524: (+59241) sched_switch:         stress:3676 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14906.249238357: (+30833) sched_switch:         stress:3679 [120] D ==> stress:3672 [120]
          stress-3672  [002] 14906.257141764: (+7903407) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.265163801: (+8022037) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.265168135: (+4334)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.265180727: (+12592) sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14906.265215468: (+34741) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3676 [120]
          stress-3676  [002] 14906.265226783: (+11315) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.269143727: (+3916944) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.273140838: (+3997111) sched_switch:         stress:3679 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.275169079: (+2028241) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.275173338: (+4259)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.275215635: (+42297) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14906.276259746: (+1044111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.276263135: (+3389)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.276290172: (+27037) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.276312135: (+21963) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.276333616: (+21481) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14906.276347838: (+14222) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14906.276374913: (+27075) sched_switch:         ngrok:555 [120] S ==> stress:3676 [120]
          stress-3676  [002] 14906.281141357: (+4766444) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.281146875: (+5518)  sched_switch:         stress:3676 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002] 14906.281164505: (+17630) sched_switch:         kcompactd0:43 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14906.285137931: (+3973426) sched_switch:         stress:3678 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.289138653: (+4000722) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.293137894: (+3999241) sched_switch:         stress:3676 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.301138227: (+8000333) sched_switch:         stress:3678 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.309143542: (+8005315) sched_switch:         stress:3679 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.317149653: (+8006111) sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.317238264: (+88611) sched_switch:         stress:3676 [120] D ==> stress:3678 [120]
          stress-3678  [002] 14906.325139061: (+7900797) sched_switch:         stress:3678 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.325189449: (+50388) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14906.325192579: (+3130)  sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.325426190: (+233611) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14906.325431505: (+5315)  sched_switch:         stress:3676 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.325475635: (+44130) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.325510209: (+34574) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.325531505: (+21296) sched_switch:         ngrok:553 [120] S ==> stress:3676 [120]
          stress-3676  [002] 14906.333136931: (+7605426) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.341146320: (+8009389) sched_switch:         stress:3679 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.349149486: (+8003166) sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.357136227: (+7986741) sched_switch:         stress:3676 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.365134190: (+7997963) sched_switch:         stress:3678 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.373146357: (+8012167) sched_switch:         stress:3679 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.374570338: (+1423981) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.374583671: (+13333) sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.374642912: (+59241) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.375685875: (+1042963) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.375691375: (+5500)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.375724857: (+33482) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.375748449: (+23592) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.375771745: (+23296) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14906.375786338: (+14593) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14906.375815745: (+29407) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.381151857: (+5336112) sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.389136894: (+7985037) sched_switch:         stress:3676 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.397140708: (+8003814) sched_switch:         stress:3678 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.405150245: (+8009537) sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.413135986: (+7985741) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.421145560: (+8009574) sched_switch:         stress:3676 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.424880227: (+3734667) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14906.424889597: (+9370)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.424959597: (+70000) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14906.425996468: (+1036871) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.426005616: (+9148)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14906.426036227: (+30611) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14906.426064356: (+28129) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14906.426081764: (+17408) sched_switch:         ngrok:553 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14906.433143264: (+7061500) sched_switch:         stress:3679 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14906.441155542: (+8012278) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14906.449132893: (+7977351) sched_switch:         stress:3678 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14906.457133671: (+8000778) sched_switch:         stress:3676 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14906.461162004: (+4028333) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14906.469163264: (+8001260) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14906.469175801: (+12537) sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14906.469206541: (+30740) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3678 [120]
          stress-3678  [002] 14906.475111838: (+5905297) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
