cpus=4
       trace-cmd-3233  [002] 14579.117623383:          sched_switch:         trace-cmd:3233 [120] S ==> trace-cmd:3240 [120]
           ngrok-518   [002] 14579.316233734: (+6408)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.316254938: (+21204) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.365301308: (+49046370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.365306474: (+5166)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.365318604: (+12130) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.366367474: (+1048870) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.366372382: (+4908)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.366384419: (+12037) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.366396178: (+11759) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.366406308: (+10130) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.366412900: (+6592)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.366434771: (+21871) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.415481696: (+49046925) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.415486733: (+5037)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.415498678: (+11945) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.416547585: (+1048907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.416552345: (+4760)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.416564122: (+11777) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.416573863: (+9741)  sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.416584900: (+11037) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.416591437: (+6537)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.416613085: (+21648) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.431868770: (+15255685) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.431875604: (+6834)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.431886233: (+10629) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.465660937: (+33774704) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.465665844: (+4907)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.465678270: (+12426) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.466727215: (+1048945) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.466732122: (+4907)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.466744511: (+12389) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.466756604: (+12093) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.466767196: (+10592) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.466773567: (+6371)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.466795900: (+22333) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.515843085: (+49047185) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.515848252: (+5167)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.515860474: (+12222) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.516909252: (+1048778) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.516914141: (+4889)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.516926437: (+12296) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
