cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168524809: (+3538)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168533716: (+8907)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168542401: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168545734: (+3333)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168571216: (+25482) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168583957: (+12741) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168587457: (+3500)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168607179: (+19722) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168619271: (+12092) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168622790: (+3519)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168693716: (+70926) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168707142: (+13426) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168710679: (+3537)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168718883: (+8204)  sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168725105: (+6222)  sched_switch:         kworker/0:0:2872 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.176274457: (+7549352) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.176279716: (+5259)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.176289197: (+9481)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.183841901: (+7552704) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.183851975: (+10074) sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.183857827: (+5852)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.199849179: (+15991352) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.199856160: (+6981)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.199863457: (+7297)  sched_wakeup:         trace-cmd:3237 [120]<CANT FIND FIELD success> CPU:000
 brcmf_wdog/mmc1-237   [000] 14579.199877938: (+14481) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> trace-cmd:3237 [120]
       trace-cmd-3237  [000] 14579.199889308: (+11370) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3237  [000] 14579.199893957: (+4649)  sched_switch:         trace-cmd:3237 [120] R ==> brcmf_wdog/mmc1:237 [120]
