cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3184  [003] 14579.125901920: (+9759)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.125911272: (+9352)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [000] 14579.126272864: (+361592) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.126276957: (+4093)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.126301864: (+24907) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
   task_server.a-3182  [003] 14579.127141272: (+839408) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.127150957: (+9685)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.127160327: (+9370)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.128399716: (+1239389) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.128410031: (+10315) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.128419642: (+9611)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.129649383: (+1229741) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.129659123: (+9740)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.129668512: (+9389)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.130899457: (+1230945) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.130909049: (+9592)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.130918420: (+9371)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [001] 14579.131835475: (+917055) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [000] 14579.131837179: (+1704)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [001] 14579.131840309: (+3130)  sched_switch:         swapper/1:0 [120] R ==> rcu_preempt:13 [120]
          <idle>-0     [000] 14579.131843623: (+3314)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.131851605: (+7982)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
     rcu_preempt-13    [001] 14579.131853512: (+1907)  sched_switch:         rcu_preempt:13 [120] W ==> swapper/1:0 [120]
   task_server.a-3182  [003] 14579.132156346: (+302834) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.132166438: (+10092) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.132175975: (+9537)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.133407772: (+1231797) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.133417494: (+9722)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.133426883: (+9389)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
