CPU 3 is empty
cpus=4
       trace-cmd-3383  [001] 14764.225816010:          sched_switch:         trace-cmd:3383 [120] S ==> trace-cmd:3388 [120]
       trace-cmd-3388  [001] 14764.226407954: (+591944) sched_switch:         trace-cmd:3388 [120] S ==> trace-cmd:3387 [120]
       trace-cmd-3387  [001] 14764.226677991: (+270037) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
       trace-cmd-3387  [001] 14764.226685288: (+7297)  sched_switch:         trace-cmd:3387 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14764.226711880: (+26592) sched_switch:         ngrok:515 [120] S ==> trace-cmd:3387 [120]
       trace-cmd-3387  [001] 14764.226899732: (+187852) sched_switch:         trace-cmd:3387 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [001] 14764.228257751: (+1358019) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-3358  [001] 14764.228261603: (+3852)  sched_switch:         task_server.a:3358 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14764.228276306: (+14703) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:3358 [120]
   task_server.a-3358  [001] 14764.236238417: (+7962111) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-3358  [001] 14764.236242695: (+4278)  sched_switch:         task_server.a:3358 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14764.236256751: (+14056) sched_switch:         rcu_preempt:13 [120] W ==> task_server.a:3358 [120]
   task_server.a-3358  [001] 14764.248239380: (+11982629) sched_wakeup:         kworker/1:1:3037 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-3358  [001] 14764.248243417: (+4037)  sched_switch:         task_server.a:3358 [120] R ==> kworker/1:1:3037 [120]
     kworker/1:1-3037  [001] 14764.248268454: (+25037) sched_switch:         kworker/1:1:3037 [120] W ==> task_server.a:3358 [120]
   task_server.a-3358  [001] 14764.256239769: (+7971315) sched_wakeup:         kworker/1:1:3037 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-3358  [001] 14764.256244139: (+4370)  sched_switch:         task_server.a:3358 [120] R ==> kworker/1:1:3037 [120]
