cpus=4
          stress-2577  [002]  9175.383578886:          sched_switch:         stress:2577 [120] R ==> trace-cmd:2579 [120]
    kworker/2:1H-96    [002]  9175.456847459: (+39500) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.456854274: (+6815)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.456858533: (+4259)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.456888237: (+29704) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.456955182: (+66945) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.456985385: (+30203) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.470128719: (+13143334) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.470135089: (+6370)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.470166293: (+31204) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.470171496: (+5203)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.470174922: (+3426)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.470195978: (+21056) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.470251422: (+55444) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.470277737: (+26315) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.488222163: (+17944426) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.488227793: (+5630)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.488265793: (+38000) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.488274163: (+8370)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.488280496: (+6333)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.488307367: (+26871) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
