cpus=4
       trace-cmd-2567  [000]  9175.377263386:          sched_wakeup:         kworker/u8:0:2070 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-2567  [000]  9175.377274571: (+11185) sched_switch:         trace-cmd:2567 [120] R ==> kworker/u8:0:2070 [120]
    kworker/u8:0-2070  [000]  9175.377295997: (+21426) sched_wakeup:         kthreadd:2 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:0-2070  [000]  9175.377303552: (+7555)  sched_switch:         kworker/u8:0:2070 [120] D ==> kthreadd:2 [120]
        kthreadd-2     [000]  9175.377374700: (+71148) sched_switch:         kthreadd:2 [120] S ==> trace-cmd:2567 [120]
       trace-cmd-2567  [000]  9175.377395589: (+20889) sched_switch:         trace-cmd:2567 [120] S ==> stress:2571 [120]
          stress-2571  [000]  9175.379603052: (+2207463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          stress-2571  [000]  9175.379612404: (+9352)  sched_switch:         stress:2571 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000]  9175.379633830: (+21426) sched_switch:         rcu_preempt:13 [120] W ==> stress:2571 [120]
          stress-2571  [000]  9175.383601163: (+3967333) sched_switch:         stress:2571 [120] R ==> kthreadd:2583 [120]
    kworker/u8:3-2583  [000]  9175.383628978: (+27815) sched_wakeup:         kworker/u8:0:2070 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:3-2583  [000]  9175.383634737: (+5759)  sched_switch:         kthreadd:2583 [120] D ==> kworker/u8:0:2070 [120]
    kworker/u8:0-2070  [000]  9175.383664367: (+29630) sched_wakeup:         kworker/u8:3:2583 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:0-2070  [000]  9175.383687386: (+23019) sched_switch:         kworker/u8:0:2070 [120] W ==> kworker/u8:3:2583 [120]
    kworker/u8:3-2583  [000]  9175.383695108: (+7722)  sched_switch:         kworker/u8:3:2583 [120] W ==> trace-cmd:2582 [120]
       trace-cmd-2582  [000]  9175.383909330: (+214222) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2582  [000]  9175.383913978: (+4648)  sched_switch:         trace-cmd:2582 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9175.383959145: (+45167) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9175.383973015: (+13870) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2582 [120]
       trace-cmd-2582  [000]  9175.383982830: (+9815)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2582  [000]  9175.383986682: (+3852)  sched_switch:         trace-cmd:2582 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9175.384020571: (+33889) sched_switch:         kworker/u9:3:569 [100] D ==> trace-cmd:2582 [120]
       trace-cmd-2582  [000]  9175.384048404: (+27833) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
       trace-cmd-2582  [000]  9175.384054071: (+5667)  sched_switch:         trace-cmd:2582 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9175.384070589: (+16518) sched_switch:         kworker/u9:3:569 [100] W ==> trace-cmd:2582 [120]
       trace-cmd-2582  [000]  9175.384411719: (+341130) sched_switch:         trace-cmd:2582 [120] D ==> trace-cmd:2581 [120]
       trace-cmd-2581  [000]  9175.384730682: (+318963) sched_switch:         trace-cmd:2581 [120] D ==> trace-cmd:2580 [120]
       trace-cmd-2580  [000]  9175.385022663: (+291981) sched_switch:         trace-cmd:2580 [120] D ==> stress:2571 [120]
          stress-2571  [000]  9175.387608497: (+2585834) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          stress-2571  [000]  9175.387624534: (+16037) sched_switch:         stress:2571 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000]  9175.387642941: (+18407) sched_switch:         rcu_preempt:13 [120] W ==> stress:2571 [120]
          stress-2571  [000]  9175.391590441: (+3947500) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          stress-2571  [000]  9175.391596811: (+6370)  sched_switch:         stress:2571 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000]  9175.391627348: (+30537) sched_switch:         rcu_preempt:13 [120] W ==> stress:2571 [120]
          stress-2571  [000]  9175.399192960: (+7565612) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          stress-2571  [000]  9175.399212385: (+19425) sched_switch:         stress:2571 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9175.399297663: (+85278) sched_switch:         ngrok:555 [120] S ==> stress:2571 [120]
