cpus=4
       trace-cmd-3276  [002] 14601.959526296:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3276  [002] 14601.959542666: (+16370) sched_switch:         trace-cmd:3276 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14601.959562407: (+19741) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:1-2871  [002] 14601.959571185: (+8778)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [002] 14601.959770833: (+199648) sched_switch:         sshd:778 [120] S ==> trace-cmd:3276 [120]
       trace-cmd-3276  [002] 14601.959776222: (+5389)  sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3276  [002] 14601.959780351: (+4129)  sched_switch:         trace-cmd:3276 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [002] 14601.959785555: (+5204)  sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:1-2871  [002] 14601.959789814: (+4259)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [002] 14601.959841351: (+51537) sched_switch:         sshd:778 [120] S ==> trace-cmd:3276 [120]
       trace-cmd-3276  [002] 14601.959861425: (+20074) sched_switch:         trace-cmd:3276 [120] S ==> stress:3281 [120]
          stress-3281  [002] 14601.963702055: (+3840630) sched_wakeup:         kworker/u9:1:263 [100]<CANT FIND FIELD success> CPU:002
          stress-3281  [002] 14601.963705518: (+3463)  sched_switch:         stress:3281 [120] R ==> kworker/u9:1:263 [100]
    kworker/u9:1-263   [002] 14601.963711870: (+6352)  sched_switch:         kworker/u9:1:263 [100] W ==> stress:3281 [120]
          stress-3281  [002] 14601.969925370: (+6213500) sched_switch:         stress:3281 [120] R ==> trace-cmd:3289 [120]
       trace-cmd-3289  [002] 14601.970503073: (+577703) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3289  [002] 14601.970511333: (+8260)  sched_switch:         trace-cmd:3289 [120] R ==> jbd2/mmcblk0p2-:93 [120]
