cpus=4
          stress-3142  [001] 14544.346176071:          sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.402612386: (+4056)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.402615589: (+3203)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.402634811: (+19222) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.402676830: (+42019) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.402696274: (+19444) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.415319441: (+12623167) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.415326793: (+7352)  sched_switch:         stress:3142 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14544.415354978: (+28185) sched_switch:         ngrok:517 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.415794663: (+439685) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.415799756: (+5093)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.415828830: (+29074) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.415832534: (+3704)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.415835293: (+2759)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.415856552: (+21259) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.415900071: (+43519) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.415927145: (+27074) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.429046811: (+13119666) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.429057923: (+11112) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.429099534: (+41611) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.429105830: (+6296)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.429109237: (+3407)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.429138126: (+28889) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.429198923: (+60797) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
