cpus=4
       trace-cmd-3135  [000] 14544.341500071:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3135  [000] 14544.341520590: (+20519) sched_switch:         trace-cmd:3135 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14544.341554127: (+33537) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:2-2863  [000] 14544.341568645: (+14518) sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14544.341847460: (+278815) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14544.341858701: (+11241) sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.341935515: (+76814) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14544.341955015: (+19500) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14544.341966756: (+11741) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14544.341971571: (+4815)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.342013460: (+41889) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14544.342046145: (+32685) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14544.342050275: (+4130)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.342070682: (+20407) sched_switch:         kworker/u9:3:569 [100] W ==> sshd:778 [120]
            sshd-778   [000] 14544.342112182: (+41500) sched_switch:         sshd:778 [120] S ==> trace-cmd:3135 [120]
       trace-cmd-3135  [000] 14544.342122108: (+9926)  sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3135  [000] 14544.342127978: (+5870)  sched_switch:         trace-cmd:3135 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14544.342139960: (+11982) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:2-2863  [000] 14544.342144608: (+4648)  sched_switch:         kworker/u8:2:2863 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14544.342255441: (+110833) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14544.342262645: (+7204)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.342314293: (+51648) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14544.342327034: (+12741) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14544.342331960: (+4926)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.342345756: (+13796) sched_switch:         kworker/u9:3:569 [100] W ==> sshd:778 [120]
            sshd-778   [000] 14544.342371386: (+25630) sched_switch:         sshd:778 [120] S ==> trace-cmd:3135 [120]
       trace-cmd-3135  [000] 14544.342410571: (+39185) sched_switch:         trace-cmd:3135 [120] S ==> stress:3137 [120]
          stress-3137  [000] 14544.342555071: (+144500) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:000
          stress-3137  [000] 14544.342561015: (+5944)  sched_switch:         stress:3137 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [000] 14544.342582275: (+21260) sched_switch:         rcu_preempt:13 [120] W ==> stress:3137 [120]
          stress-3137  [000] 14544.344318256: (+1735981) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          stress-3137  [000] 14544.344350034: (+31778) sched_switch:         stress:3137 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14544.344404867: (+54833) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14544.344447127: (+42260) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14544.344476867: (+29740) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14544.344497497: (+20630) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14544.344508330: (+10833) sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.344524682: (+16352) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14544.344530256: (+5574)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14544.344533293: (+3037)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14544.344599886: (+66593) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14544.344636071: (+36185) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14544.344649608: (+13537) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
