cpus=4
          stress-3139  [002] 14544.346612275:          sched_switch:         stress:3139 [120] R ==> stress:3143 [120]
           ngrok-555   [002] 14544.464479793: (+73278) sched_switch:         ngrok:555 [120] S ==> stress:3140 [120]
          stress-3140  [002] 14544.464898348: (+418555) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.464908700: (+10352) sched_switch:         stress:3140 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14544.464942126: (+33426) sched_switch:         ngrok:515 [120] S ==> stress:3140 [120]
          stress-3140  [002] 14544.465519256: (+577130) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.465525626: (+6370)  sched_switch:         stress:3140 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.465619922: (+94296) sched_switch:         ngrok:555 [120] S ==> stress:3140 [120]
          stress-3140  [002] 14544.465666385: (+46463) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.465669145: (+2760)  sched_switch:         stress:3140 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14544.465709237: (+40092) sched_switch:         ngrok:555 [120] S ==> stress:3140 [120]
          stress-3140  [002] 14544.466545478: (+836241) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.466551793: (+6315)  sched_switch:         stress:3140 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14544.466572441: (+20648) sched_switch:         rcu_preempt:13 [120] W ==> stress:3140 [120]
          stress-3140  [002] 14544.470547404: (+3974963) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.470551608: (+4204)  sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.470559867: (+8259)  sched_switch:         stress:3140 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14544.470603348: (+43481) sched_switch:         kworker/2:2:2856 [120] W ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14544.470615348: (+12000) sched_switch:         rcu_preempt:13 [120] W ==> stress:3140 [120]
          stress-3140  [002] 14544.474998570: (+4383222) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.475005459: (+6889)  sched_switch:         stress:3140 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14544.475046293: (+40834) sched_switch:         ngrok:515 [120] S ==> stress:3140 [120]
          stress-3140  [002] 14544.508909256: (+33862963) sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3140  [002] 14544.508914015: (+4759)  sched_switch:         stress:3140 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.508929459: (+15444) sched_switch:         stress:3146 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.508936589: (+7130)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.508941367: (+4778)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.508948256: (+6889)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.508952681: (+4425)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.508955404: (+2723)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.508972404: (+17000) sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.508976089: (+3685)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.508978718: (+2629)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.508983422: (+4704)  sched_switch:         stress:3146 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.508987348: (+3926)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.508989867: (+2519)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.508994293: (+4426)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.508997607: (+3314)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509000070: (+2463)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509005256: (+5186)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509010978: (+5722)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509013478: (+2500)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509021533: (+8055)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509025941: (+4408)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509028959: (+3018)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509033496: (+4537)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509036904: (+3408)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509040626: (+3722)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509044830: (+4204)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509048922: (+4092)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509051274: (+2352)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509056774: (+5500)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509062663: (+5889)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509065293: (+2630)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509074089: (+8796)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509079052: (+4963)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509081644: (+2592)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509086848: (+5204)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509091126: (+4278)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509093200: (+2074)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509098348: (+5148)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509102700: (+4352)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509104904: (+2204)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509109107: (+4203)  sched_switch:         stress:3146 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.509112996: (+3889)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509115644: (+2648)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509122941: (+7297)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509126441: (+3500)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509129144: (+2703)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509133830: (+4686)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509138107: (+4277)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509140256: (+2149)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509144867: (+4611)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509149700: (+4833)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509152200: (+2500)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509157607: (+5407)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509162274: (+4667)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509164552: (+2278)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509172441: (+7889)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509177181: (+4740)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509179478: (+2297)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509184200: (+4722)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509188848: (+4648)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509195126: (+6278)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509199848: (+4722)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509203422: (+3574)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509206052: (+2630)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509210793: (+4741)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509215126: (+4333)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509217385: (+2259)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509225922: (+8537)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
