CPU 3 is empty
cpus=4
       trace-cmd-2418  [001]  9093.707145290:          sched_switch:         trace-cmd:2418 [120] S ==> trace-cmd:2423 [120]
 task_client_B.a-2397  [001]  9098.241775772: (+3389)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9098.241785661: (+9889)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9098.989903307: (+748117646) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9098.989907566: (+4259)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9098.989924270: (+16704) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9098.989930547: (+6277)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9098.989933214: (+2667)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9098.989942862: (+9648)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9100.018074580: (+1028131718) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9100.018078747: (+4167)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9100.018094951: (+16204) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9100.018100692: (+5741)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9100.018103229: (+2537)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9100.018112377: (+9148)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9101.038234317: (+1020121940) sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9101.038238539: (+4222)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9101.038257910: (+19371) sched_switch:         kworker/1:1:2221 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9101.038264873: (+6963)  sched_wakeup:         kworker/1:1:2221 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9101.038267614: (+2741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/1:1:2221 [120]
     kworker/1:1-2221  [001]  9101.038277225: (+9611)  sched_switch:         kworker/1:1:2221 [120] W ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [001]  9101.991584332: (+953307107) sched_wakeup:         execute_schedul:2398 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [001]  9101.991589406: (+5074)  sched_switch:         task_client_B.a:2397 [120] R ==> execute_schedul:2398 [120]
 execute_schedul-2398  [001]  9101.992294221: (+704815) sched_wakeup:         trace-cmd:2418 [120]<CANT FIND FIELD success> CPU:001
 execute_schedul-2398  [001]  9101.992420536: (+126315) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
 execute_schedul-2398  [001]  9101.992801499: (+380963) sched_switch:         execute_schedul:2398 [120] S ==> trace-cmd:2418 [120]
