CPU 3 is empty
cpus=4
 task_client_A.a-2395  [000]  9093.707361901:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9097.009541333: (+35993630) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9097.009545740: (+4407)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [000]  9097.009568092: (+22352) sched_switch:         kworker/u8:2:2035 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9097.397615016: (+388046924) sched_wakeup:         wpa_supplicant:528 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9097.397619239: (+4223)  sched_switch:         task_client_A.a:2395 [120] R ==> wpa_supplicant:528 [120]
  wpa_supplicant-528   [000]  9097.397688961: (+69722) sched_switch:         wpa_supplicant:528 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9097.965720977: (+568032016) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9097.965725218: (+4241)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9097.965733588: (+8370)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9098.541824827: (+576091239) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9098.541831882: (+7055)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9098.541849901: (+18019) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9098.541865938: (+16037) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9098.753905437: (+212039499) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9098.753909382: (+3945)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9098.753922104: (+12722) sched_switch:         kworker/0:1H:67 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9098.753927696: (+5592)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9098.753931178: (+3482)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9098.753944511: (+13333) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9098.989903307: (+235958796) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9098.989907510: (+4203)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9098.989920584: (+13074) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9099.021911473: (+31990889) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9099.021915510: (+4037)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [000]  9099.021935121: (+19611) sched_switch:         kworker/u8:2:2035 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9099.982068914: (+960133793) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9099.982072877: (+3963)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9099.982081321: (+8444)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.142099284: (+160017963) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.142102413: (+3129)  sched_switch:         task_client_A.a:2395 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9100.142220654: (+118241) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9100.142225006: (+4352)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.142259580: (+34574) sched_switch:         kworker/0:1H:67 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9100.142269895: (+10315) sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.148448784: (+6178889) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.148452561: (+3777)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.148462839: (+10278) sched_switch:         kworker/0:1H:67 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.148468302: (+5463)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.148471728: (+3426)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.148478080: (+6352)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9100.148486524: (+8444)  sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9100.148501006: (+14482) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9100.148508802: (+7796)  sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9100.148538876: (+30074) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9100.148543395: (+4519)  sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.148562858: (+19463) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.150591784: (+2028926) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.150595135: (+3351)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.150604432: (+9297)  sched_switch:         kworker/0:1H:67 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.150609969: (+5537)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.150613302: (+3333)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9100.150617839: (+4537)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9100.150625432: (+7593)  sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9100.150630635: (+5203)  sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9100.150635413: (+4778)  sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9100.150676635: (+41222) sched_switch:         jbd2/mmcblk0p2-:93 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.398137023: (+247460388) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.398141690: (+4667)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9100.398152597: (+10907) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.558160023: (+160007426) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.558163541: (+3518)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9100.558183245: (+19704) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9100.558200745: (+17500) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9100.978225577: (+420024832) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9100.978229410: (+3833)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9100.978246892: (+17482) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9101.038235521: (+59988629) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9101.038239558: (+4037)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [000]  9101.038266780: (+27222) sched_switch:         kworker/u8:2:2035 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9101.966371036: (+928104256) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9101.966375517: (+4481)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9101.966386110: (+10593) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9101.991602351: (+25216241) sched_wakeup:         trace-cmd:2421 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9101.991605851: (+3500)  sched_switch:         task_client_A.a:2395 [120] R ==> trace-cmd:2421 [120]
       trace-cmd-2421  [000]  9101.991618295: (+12444) sched_switch:         trace-cmd:2421 [120] S ==> task_client_A.a:2395 [120]
