CPU 3 is empty
cpus=4
 task_client_A.a-2395  [000]  9093.707361901:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9093.756328882: (+3741)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9093.756337734: (+8852)  sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9093.756341864: (+4130)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.769578123: (+13236259) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.769583938: (+5815)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9093.769589160: (+5222)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.785574456: (+15985296) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.785583549: (+9093)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9093.785597975: (+14426) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.785607678: (+9703)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.785611549: (+3871)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9093.785618030: (+6481)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9093.965532215: (+179914185) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9093.965536807: (+4592)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9093.965550252: (+13445) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.222614417: (+257064165) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.222617991: (+3574)  sched_switch:         task_client_A.a:2395 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9094.222793825: (+175834) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9094.222798640: (+4815)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9094.222850510: (+51870) sched_switch:         kworker/0:1H:67 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9094.222861565: (+11055) sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.228533510: (+5671945) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.228537362: (+3852)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9094.228550103: (+12741) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9094.228560084: (+9981)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9094.228571306: (+11222) sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9094.228598862: (+27556) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9094.228607788: (+8926)  sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9094.228644454: (+36666) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9094.228649232: (+4778)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9094.228669417: (+20185) sched_switch:         kworker/0:1H:67 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9094.228675491: (+6074)  sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.230695306: (+2019815) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.230699251: (+3945)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9094.230709232: (+9981)  sched_switch:         kworker/0:1H:67 [100] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.230714695: (+5463)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.230718603: (+3908)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9094.230723269: (+4666)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9094.230730936: (+7667)  sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9094.230736343: (+5407)  sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9094.230741454: (+5111)  sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9094.230805640: (+64186) sched_switch:         jbd2/mmcblk0p2-:93 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.253465825: (+22660185) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.253469991: (+4166)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9094.253481232: (+11241) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.277458158: (+23976926) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.277462547: (+4389)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9094.277469121: (+6574)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.509405416: (+231936295) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.509409490: (+4074)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9094.509429472: (+19982) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9094.509449009: (+19537) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9094.989293285: (+479844276) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.989300488: (+7203)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9094.989304303: (+3815)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9094.989316822: (+12519) sched_switch:         kworker/0:2:2219 [120] W ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [000]  9094.989337451: (+20629) sched_switch:         kworker/u8:2:2035 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.223102654: (+233765203) sched_wakeup:         systemd-timesyn:2344 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.223107451: (+4797)  sched_switch:         task_client_A.a:2395 [120] R ==> systemd-timesyn:2344 [120]
 systemd-timesyn-2344  [000]  9095.223254784: (+147333) sched_wakeup:         systemd:1 [120]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.223343599: (+88815) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.223427858: (+84259) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.223434395: (+6537)  sched_switch:         systemd-timesyn:2344 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.223467673: (+33278) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9095.223474117: (+6444)  sched_switch:         kworker/u9:3:569 [100] R ==> systemd:1 [120]
         systemd-1     [000]  9095.223666414: (+192297) sched_switch:         systemd:1 [120] S ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.223686025: (+19611) sched_switch:         kworker/0:2:2219 [120] W ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.223697358: (+11333) sched_switch:         kworker/u9:3:569 [100] D ==> systemd-timesyn:2344 [120]
 systemd-timesyn-2344  [000]  9095.223708784: (+11426) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.223713228: (+4444)  sched_switch:         systemd-timesyn:2344 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.223744302: (+31074) sched_switch:         kworker/u9:3:569 [100] D ==> systemd-timesyn:2344 [120]
 systemd-timesyn-2344  [000]  9095.223766969: (+22667) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.223770636: (+3667)  sched_switch:         systemd-timesyn:2344 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.223784154: (+13518) sched_switch:         kworker/u9:3:569 [100] W ==> systemd-timesyn:2344 [120]
 systemd-timesyn-2344  [000]  9095.223810858: (+26704) sched_switch:         systemd-timesyn:2344 [120] S ==> task_client_A.a:2395 [120]
