CPU 3 is empty
cpus=4
 task_client_A.a-2963  [001] 14461.505053850:          sched_wakeup:         trace-cmd:2988 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14462.906830308: (+8241)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14462.906854215: (+23907) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14462.955922326: (+49068111) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14462.955925752: (+3426)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14462.955941289: (+15537) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14462.955952770: (+11481) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14462.955963493: (+10723) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14462.955970530: (+7037)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14462.955990141: (+19611) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.005058103: (+49067962) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.005061437: (+3334)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.005075659: (+14222) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.006124844: (+1049185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.006128437: (+3593)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.006142270: (+13833) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.006154122: (+11852) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.006164678: (+10556) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.006171492: (+6814)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.006192437: (+20945) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.055261066: (+49068629) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.055264455: (+3389)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.055278955: (+14500) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.056327788: (+1048833) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.056331659: (+3871)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.056345474: (+13815) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.056357455: (+11981) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.056374455: (+17000) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.056381640: (+7185)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.056401307: (+19667) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.061655140: (+5253833) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.061658863: (+3723)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14463.061667344: (+8481)  sched_switch:         kworker/1:2:2867 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.105468696: (+43801352) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.105472085: (+3389)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.105486473: (+14388) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.106535344: (+1048871) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.106539455: (+4111)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.106553048: (+13593) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.106565103: (+12055) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.106575659: (+10556) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.106582973: (+7314)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.106602973: (+20000) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.155671807: (+49068834) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.155675270: (+3463)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.155689751: (+14481) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.156738695: (+1048944) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.156742547: (+3852)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.156756103: (+13556) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.156766177: (+10074) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.156776473: (+10296) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.156783418: (+6945)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.156802807: (+19389) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.205871751: (+49068944) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.205874992: (+3241)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.205889047: (+14055) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.206937825: (+1048778) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.206941621: (+3796)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.206954621: (+13000) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.206966380: (+11759) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.206976899: (+10519) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.206983640: (+6741)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.207003806: (+20166) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.256072010: (+49068204) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.256076010: (+4000)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.256089380: (+13370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.256099399: (+10019) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.256109825: (+10426) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.256116603: (+6778)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.256135732: (+19129) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.305203862: (+49068130) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.305207621: (+3759)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.305221565: (+13944) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.306271250: (+1049685) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.306274973: (+3723)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.306288306: (+13333) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.306300102: (+11796) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.306308843: (+8741)  sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.309349325: (+3040482) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.309353232: (+3907)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
