CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.099611904: (+4797981) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.103453552: (+3841648) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.103981460: (+527908) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.103985867: (+4407)  sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.104003441: (+17574) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.104648441: (+645000) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.107638126: (+2989685) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.110261812: (+2623686) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.110331219: (+69407) sched_switch:         stress:2466 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9117.114059237: (+3728018) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9117.114063034: (+3797)  sched_switch:         stress:2462 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.114085626: (+22592) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.116666052: (+2580426) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.119614404: (+2948352) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.122179460: (+2565056) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.122188830: (+9370)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.127616219: (+5427389) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.132147237: (+4531018) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.132249793: (+102556) sched_switch:         stress:2466 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9117.135631256: (+3381463) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.138847960: (+3216704) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.143613423: (+4765463) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.147502422: (+3888999) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.151623478: (+4121056) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.153986052: (+2362574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.153990552: (+4500)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.154009163: (+18611) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.154885015: (+875852) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.155871311: (+986296) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.155875756: (+4445)  sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.156525515: (+649759) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.159621237: (+3095722) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.162183756: (+2562519) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.163622645: (+1438889) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.164060200: (+437555) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.164063867: (+3667)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.164076497: (+12630) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.164933163: (+856666) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.164946108: (+12945) sched_switch:         stress:2463 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9117.167625108: (+2679000) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.167629330: (+4222)  sched_switch:         stress:2467 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9117.167662885: (+33555) sched_switch:         kworker/u8:2:2035 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.168530200: (+867315) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.169594774: (+1064574) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.171749071: (+2154297) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9117.175616904: (+3867833) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.180741533: (+5124629) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.183617496: (+2875963) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.185541237: (+1923741) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.191629848: (+6088611) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.196147830: (+4517982) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.199617052: (+3469222) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.202818811: (+3201759) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.203983941: (+1165130) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.203988237: (+4296)  sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.204004182: (+15945) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.204652663: (+648481) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.207618126: (+2965463) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.210179700: (+2561574) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.214064681: (+3884981) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.214074756: (+10075) sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.214105200: (+30444) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.216729256: (+2624056) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.219630200: (+2900944) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.222206644: (+2576444) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.227616126: (+5409482) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.232106052: (+4489926) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.235636404: (+3530352) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.238217533: (+2581129) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.243619163: (+5401630) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.248128533: (+4509370) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.251630255: (+3501722) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.253999292: (+2369037) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.254006718: (+7426)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.254041218: (+34500) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.254299737: (+258519) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.259622718: (+5322981) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.264091941: (+4469223) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.264095589: (+3648)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.264113459: (+17870) sched_switch:         ngrok:515 [120] S ==> stress:2467 [120]
          stress-2467  [001]  9117.267630089: (+3516630) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.270888533: (+3258444) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.275617774: (+4729241) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.279457552: (+3839778) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.283619366: (+4161814) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.286826774: (+3207408) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.291626552: (+4799778) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.295521607: (+3895055) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.299620755: (+4099148) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.302828422: (+3207667) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.303988940: (+1160518) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9117.303992311: (+3371)  sched_switch:         stress:2462 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.304009366: (+17055) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.305296033: (+1286667) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.307640144: (+2344111) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.309601329: (+1961185) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.314068366: (+4467037) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9117.314076718: (+8352)  sched_switch:         stress:2462 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.314110589: (+33871) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.317360163: (+3249574) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.319623792: (+2263629) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.321548588: (+1924796) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.327635848: (+6087260) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.332762014: (+5126166) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.332776718: (+14704) sched_switch:         stress:2466 [120] D ==> stress:2463 [120]
          stress-2463  [001]  9117.332784070: (+7352)  sched_switch:         stress:2463 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9117.335622070: (+2838000) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.338182977: (+2560907) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.343623477: (+5440500) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.348157848: (+4534371) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.351621551: (+3463703) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.353621255: (+1999704) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.353992866: (+371611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.353996662: (+3796)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.354013403: (+16741) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.354867348: (+853945) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.354874440: (+7092)  sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9117.354893403: (+18963) sched_switch:         stress:2466 [120] D ==> stress:2463 [120]
          stress-2463  [001]  9117.354898107: (+4704)  sched_switch:         stress:2463 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9117.355843255: (+945148) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.355846199: (+2944)  sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.356497051: (+650852) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.356506681: (+9630)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.359638051: (+3131370) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.362218681: (+2580630) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.362261829: (+43148) sched_switch:         stress:2466 [120] D ==> stress:2463 [120]
          stress-2463  [001]  9117.362268366: (+6537)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.362271014: (+2648)  sched_switch:         stress:2463 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.364065477: (+1794463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9117.364070033: (+4556)  sched_switch:         stress:2466 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.364089236: (+19203) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.365377959: (+1288723) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.371635459: (+6257500) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.376800588: (+5165129) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.379626403: (+2825815) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.381553422: (+1927019) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.387624014: (+6070592) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.392754755: (+5130741) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.395640773: (+2886018) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.397580107: (+1939334) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.403621922: (+6041815) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.403993718: (+371796) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.403997292: (+3574)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.404020014: (+22722) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.408787662: (+4767648) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.411623866: (+2836204) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.413546070: (+1922204) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.413590996: (+44926) sched_switch:         stress:2466 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9117.414068181: (+477185) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9117.414071366: (+3185)  sched_switch:         stress:2462 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.414082236: (+10870) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.414727903: (+645667) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.414745255: (+17352) sched_switch:         stress:2463 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9117.419632218: (+4886963) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.423491884: (+3859666) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.423703588: (+211704) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.423707051: (+3463)  sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.424353625: (+646574) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.424363384: (+9759)  sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9117.427627681: (+3264297) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.430194273: (+2566592) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.435624347: (+5430074) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.440148199: (+4523852) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.440185810: (+37611) sched_switch:         stress:2466 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9117.443642662: (+3456852) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.446222236: (+2579574) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.451640162: (+5417926) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.453991329: (+2351167) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.453995366: (+4037)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.454014144: (+18778) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.455633347: (+1619203) sched_wakeup:         kworker/1:2:2218 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.455638718: (+5371)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:2:2218 [120]
     kworker/1:2-2218  [001]  9117.455689125: (+50407) sched_switch:         kworker/1:2:2218 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.455704144: (+15019) sched_wakeup:         kworker/1:2:2218 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.455706681: (+2537)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:2:2218 [120]
     kworker/1:2-2218  [001]  9117.455726958: (+20277) sched_switch:         kworker/1:2:2218 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.456910495: (+1183537) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.456928088: (+17593) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.456931847: (+3759)  sched_switch:         stress:2463 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.459642995: (+2711148) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.461585236: (+1942241) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.464069921: (+2484685) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9117.464074606: (+4685)  sched_switch:         stress:2466 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.464096051: (+21445) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.466024421: (+1928370) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.467638829: (+1614408) sched_switch:         stress:2463 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.468923569: (+1284740) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.471408143: (+2484574) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.471624681: (+216538) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.473548069: (+1923388) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.479635847: (+6087778) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.484811606: (+5175759) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.487630162: (+2818556) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.489570866: (+1940704) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.495624495: (+6053629) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.500758125: (+5133630) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.503627051: (+2868926) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.503995329: (+368278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.503999329: (+4000)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.504016625: (+17296) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.506224125: (+2207500) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.511624569: (+5400444) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.514079180: (+2454611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.514087995: (+8815)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.514119088: (+31093) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.515537625: (+1418537) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.519637569: (+4099944) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.523521532: (+3883963) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.523534254: (+12722) sched_switch:         stress:2466 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9117.527624847: (+4090593) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.530836347: (+3211500) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.535625014: (+4788667) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.539469514: (+3844500) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.539485773: (+16259) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9117.539488940: (+3167)  sched_switch:         stress:2463 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.543639477: (+4150537) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.547523125: (+3883648) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.547573958: (+50833) sched_switch:         stress:2463 [120] D ==> stress:2466 [120]
          stress-2466  [001]  9117.551634643: (+4060685) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.553998199: (+2363556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.554002291: (+4092)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.554021476: (+19185) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.554891754: (+870278) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.556465902: (+1574148) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9117.556468939: (+3037)  sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.557753551: (+1284612) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9117.563627421: (+5873870) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.564071995: (+444574) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9117.564075236: (+3241)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9117.564086828: (+11592) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.568148495: (+4061667) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9117.571640291: (+3491796) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.574214939: (+2574648) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2462  [001]  9117.579627513: (+5412574) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9117.584157810: (+4530297) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9117.587630125: (+3472315) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
