CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
     kworker/1:2-2218  [001]  9116.219642278: (+25482) sched_switch:         kworker/1:2:2218 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.221367185: (+1724907) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.221372519: (+5334)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.221405722: (+33203) sched_switch:         kworker/1:1H:91 [100] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.221412908: (+7186)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.221416759: (+3851)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.221443093: (+26334) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.221468111: (+25018) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.221516019: (+47908) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.221534222: (+18203) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.221543315: (+9093)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.226743185: (+5199870) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.226746741: (+3556)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.226764241: (+17500) sched_switch:         kworker/1:1H:91 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.226768537: (+4296)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.226771704: (+3167)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.226787352: (+15648) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.226801426: (+14074) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.226824889: (+23463) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.226835370: (+10481) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.226841889: (+6519)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.227591185: (+749296) sched_wakeup:         kworker/1:2:2218 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.227601537: (+10352) sched_switch:         task_server.a:2393 [120] R ==> kworker/1:2:2218 [120]
     kworker/1:2-2218  [001]  9116.227617259: (+15722) sched_switch:         kworker/1:2:2218 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.228816352: (+1199093) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.228819000: (+2648)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.228830407: (+11407) sched_switch:         kworker/1:1H:91 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.228834352: (+3945)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.228836722: (+2370)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.228845815: (+9093)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.228855426: (+9611)  sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.228865185: (+9759)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.228870370: (+5185)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.228875519: (+5149)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.230767982: (+1892463) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.230770796: (+2814)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.230781630: (+10834) sched_switch:         kworker/1:1H:91 [100] D ==> task_server.a:2393 [120]
