CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-2459  [002]  9116.453463647: (+285851) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.453468518: (+4871)  sched_switch:         stress:2459 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.453513944: (+45426) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.453687462: (+173518) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
   task_server.a-2393  [001]  9116.453963944: (+276482) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.453968203: (+4259)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.453988370: (+20167) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
          stress-2460  [002]  9116.454556851: (+568481) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.454561184: (+4333)  sched_switch:         stress:2460 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.454586573: (+25389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.454610814: (+24241) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.454628055: (+17241) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.455178203: (+550148) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
   task_server.a-2393  [001]  9116.455523721: (+345518) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2459  [002]  9116.459592981: (+4069260) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
          stress-2462  [001]  9116.459607703: (+14722) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.462386203: (+2778500) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
   task_server.a-2393  [001]  9116.462814314: (+428111) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2460  [002]  9116.463599536: (+785222) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.463605388: (+5852)  sched_switch:         stress:2460 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9116.463621499: (+16111) sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:2395 [120]
          stress-2466  [001]  9116.464038110: (+416611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9116.464042740: (+4630)  sched_switch:         stress:2466 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.464055407: (+12667) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.464407555: (+352148) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
   task_server.a-2393  [001]  9116.465350147: (+942592) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
 task_client_B.a-2397  [000]  9116.466436370: (+1086223) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
          stress-2467  [001]  9116.467607240: (+1170870) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
          stress-2461  [002]  9116.467615221: (+7981)  sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.469541277: (+1926056) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
 task_client_A.a-2395  [002]  9116.470168055: (+626778) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2468  [000]  9116.471595666: (+1427611) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2466  [001]  9116.475595944: (+4000278) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
          stress-2460  [002]  9116.475600332: (+4388)  sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.479939777: (+4339445) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
 task_client_A.a-2395  [002]  9116.479957203: (+17426) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
   task_server.a-2393  [001]  9116.480091184: (+133981) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2465  [000]  9116.483620258: (+3529074) sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
          stress-2464  [002]  9116.483620518: (+260)   sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
          stress-2463  [001]  9116.483620555: (+37)    sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.486558406: (+2937851) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
   task_server.a-2393  [001]  9116.486857944: (+299538) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
 task_client_B.a-2397  [000]  9116.489582814: (+2724870) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
          stress-2467  [001]  9116.491593055: (+2010241) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
          stress-2459  [002]  9116.491613277: (+20222) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.495434258: (+3820981) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2465  [000]  9116.495593592: (+159334) sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
 task_client_A.a-2395  [002]  9116.495702166: (+108574) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2462  [001]  9116.499599925: (+3897759) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
          stress-2461  [002]  9116.499615962: (+16037) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.502788295: (+3172333) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
   task_server.a-2393  [001]  9116.502818406: (+30111) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2464  [002]  9116.503670666: (+852260) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.503676647: (+5981)  sched_switch:         stress:2464 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.503727906: (+51259) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
          stress-2463  [001]  9116.503963184: (+235278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.503968240: (+5056)  sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.503990536: (+22296) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.504441869: (+451333) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
   task_server.a-2393  [001]  9116.504648980: (+207111) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2464  [002]  9116.504778962: (+129982) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.504783592: (+4630)  sched_switch:         stress:2464 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.504814777: (+31185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.504838129: (+23352) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.504860666: (+22537) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.504874462: (+13796) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.504902684: (+28222) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.505176943: (+274259) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
 task_client_B.a-2397  [000]  9116.505362240: (+185297) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
          stress-2468  [000]  9116.507629480: (+2267240) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2464  [002]  9116.507629536: (+56)    sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
          stress-2466  [001]  9116.507629647: (+111)   sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.509621425: (+1991778) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
   task_server.a-2393  [001]  9116.510228980: (+607555) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
 task_client_B.a-2397  [000]  9116.511304962: (+1075982) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
          stress-2463  [001]  9116.514047647: (+2742685) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.514053166: (+5519)  sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.514082110: (+28944) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
          stress-2468  [000]  9116.515595684: (+1513574) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2460  [002]  9116.515597351: (+1667)  sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.517296036: (+1698685) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9116.519595795: (+2299759) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.520496851: (+901056) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
   task_server.a-2393  [001]  9116.521523110: (+1026259) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
 task_client_B.a-2397  [000]  9116.522670517: (+1147407) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
          stress-2461  [002]  9116.523618258: (+947741) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.526171721: (+2553463) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2462  [001]  9116.527598536: (+1426815) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
          stress-2465  [000]  9116.527598832: (+296)   sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
          stress-2464  [002]  9116.531631184: (+4032352) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.531644092: (+12908) sched_switch:         stress:2464 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9116.531671036: (+26944) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.532775814: (+1104778) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2467  [001]  9116.535600443: (+2824629) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
 task_client_B.a-2397  [000]  9116.535723721: (+123278) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
          stress-2468  [000]  9116.535747814: (+24093) sched_switch:         stress:2468 [120] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.535784517: (+36703) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
 task_client_A.a-2395  [002]  9116.536150295: (+365778) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.536168110: (+17815) sched_wakeup:         avahi-daemon:382 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.536172591: (+4481)  sched_switch:         stress:2459 [120] R ==> avahi-daemon:382 [120]
    avahi-daemon-382   [002]  9116.536300851: (+128260) sched_switch:         avahi-daemon:382 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.536317036: (+16185) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
   task_server.a-2393  [001]  9116.537523888: (+1206852) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.537534684: (+10796) sched_switch:         stress:2466 [120] D ==> stress:2463 [120]
          stress-2463  [001]  9116.537558221: (+23537) sched_switch:         stress:2463 [120] D ==> stress:2467 [120]
          stress-2465  [000]  9116.539599721: (+2041500) sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
          stress-2459  [002]  9116.539604129: (+4408)  sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.539608554: (+4425)  sched_switch:         stress:2459 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9116.539622962: (+14408) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.542322332: (+2699370) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2467  [001]  9116.543604073: (+1281741) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
 task_client_B.a-2397  [000]  9116.546014832: (+2410759) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
          stress-2461  [002]  9116.547617388: (+1602556) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.548772684: (+1155296) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
          stress-2465  [000]  9116.551595091: (+2822407) sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
          stress-2462  [001]  9116.551596888: (+1797)  sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.551870573: (+273685) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.553956073: (+2085500) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.553960443: (+4370)  sched_switch:         stress:2459 [120] R ==> ngrok:517 [120]
   task_server.a-2393  [001]  9116.553968091: (+7648)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.553972017: (+3926)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.553996758: (+24741) sched_switch:         ngrok:515 [120] S ==> stress:2462 [120]
           ngrok-517   [002]  9116.554008962: (+12204) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.554040832: (+31870) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.554062777: (+21945) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.555712462: (+1649685) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
 task_client_B.a-2397  [000]  9116.555729832: (+17370) sched_wakeup:         stress:2468 [120]<CANT FIND FIELD success> CPU:000
          stress-2462  [001]  9116.559595258: (+3865426) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
          stress-2460  [002]  9116.559600721: (+5463)  sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.561556369: (+1955648) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
   task_server.a-2393  [001]  9116.561566091: (+9722)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2395  [002]  9116.562677721: (+1111630) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
   task_server.a-2393  [001]  9116.564050314: (+1372593) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.564056702: (+6388)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.564082499: (+25797) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.565002869: (+920370) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.565021054: (+18185) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9116.567614295: (+2593241) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
          stress-2468  [000]  9116.567614536: (+241)   sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2464  [002]  9116.567615202: (+666)   sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.569600665: (+1985463) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
 task_client_A.a-2395  [002]  9116.571283147: (+1682482) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.575596369: (+4313222) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
          stress-2463  [001]  9116.575597406: (+1037)  sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
 task_client_B.a-2397  [000]  9116.576949647: (+1352241) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
 task_client_A.a-2395  [002]  9116.578819758: (+1870111) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2468  [000]  9116.579627647: (+807889) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
   task_server.a-2393  [001]  9116.580087647: (+460000) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2460  [002]  9116.583598869: (+3511222) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
          stress-2466  [001]  9116.583606091: (+7222)  sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
 task_client_B.a-2397  [000]  9116.583693776: (+87685) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
   task_server.a-2393  [001]  9116.586810684: (+3116908) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
 task_client_A.a-2395  [002]  9116.587228888: (+418204) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2468  [000]  9116.587598610: (+369722) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2459  [002]  9116.591596869: (+3998259) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
          stress-2466  [001]  9116.591597962: (+1093)  sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
 task_client_B.a-2397  [000]  9116.591648517: (+50555) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
   task_server.a-2393  [001]  9116.595440980: (+3792463) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2465  [000]  9116.595606943: (+165963) sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
 task_client_A.a-2395  [002]  9116.596079610: (+472667) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2463  [001]  9116.599608369: (+3528759) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
          stress-2464  [002]  9116.599618758: (+10389) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.599772999: (+154241) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2461 [120]
   task_server.a-2393  [001]  9116.602865832: (+3092833) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
 task_client_A.a-2395  [002]  9116.603109258: (+243426) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.603123813: (+14555) sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.603191091: (+67278) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.603338573: (+147482) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2461  [000]  9116.603623202: (+284629) sched_switch:         stress:2461 [120] R ==> task_client_B.a:2397 [120]
          stress-2467  [001]  9116.603968962: (+345760) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9116.603972813: (+3851)  sched_switch:         stress:2467 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.603995758: (+22945) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
          stress-2460  [002]  9116.604227036: (+231278) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.604231906: (+4870)  sched_switch:         stress:2460 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.604265462: (+33556) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.604291536: (+26074) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.604315128: (+23592) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.604328962: (+13834) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.604357202: (+28240) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.605287628: (+930426) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
 task_client_A.a-2395  [002]  9116.605291832: (+4204)  sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2467  [001]  9116.607598721: (+2306889) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
          stress-2460  [002]  9116.607602295: (+3574)  sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.607707499: (+105204) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
   task_server.a-2393  [001]  9116.608886702: (+1179203) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
 task_client_A.a-2395  [002]  9116.610026517: (+1139815) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2468  [000]  9116.611613684: (+1587167) sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2466  [001]  9116.611613739: (+55)    sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.614059462: (+2445723) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.614067406: (+7944)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.614106517: (+39111) sched_switch:         ngrok:515 [120] S ==> stress:2463 [120]
          stress-2464  [002]  9116.615638184: (+1531667) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.615789369: (+151185) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2461 [120]
          stress-2461  [000]  9116.619623202: (+3833833) sched_switch:         stress:2461 [120] R ==> task_client_B.a:2397 [120]
          stress-2463  [001]  9116.619623276: (+74)    sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.619632221: (+8945)  sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.619643425: (+11204) sched_switch:         task_client_A.a:2395 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9116.619673758: (+30333) sched_switch:         kworker/2:1:2180 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.621615017: (+1941259) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
 task_client_B.a-2397  [000]  9116.623736054: (+2121037) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
   task_server.a-2393  [001]  9116.624325517: (+589463) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
          stress-2459  [002]  9116.627598147: (+3272630) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
          stress-2467  [001]  9116.627598776: (+629)   sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
          stress-2465  [000]  9116.627599554: (+778)   sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
   task_server.a-2393  [001]  9116.630161480: (+2561926) sched_switch:         task_server.a:2393 [120] R ==> stress:2462 [120]
 task_client_B.a-2397  [000]  9116.631755406: (+1593926) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2468 [120]
 task_client_A.a-2395  [002]  9116.633959406: (+2204000) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2462  [001]  9116.635597850: (+1638444) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
          stress-2468  [000]  9116.635601424: (+3574)  sched_switch:         stress:2468 [120] R ==> task_client_B.a:2397 [120]
          stress-2460  [002]  9116.639600258: (+3998834) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_B.a-2397  [000]  9116.639764961: (+164703) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2461 [120]
   task_server.a-2393  [001]  9116.640081147: (+316186) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2461  [000]  9116.643626517: (+3545370) sched_switch:         stress:2461 [120] R ==> task_client_B.a:2397 [120]
          stress-2466  [001]  9116.643627221: (+704)   sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.645662647: (+2035426) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
   task_server.a-2393  [001]  9116.646873443: (+1210796) sched_switch:         task_server.a:2393 [120] R ==> stress:2467 [120]
 task_client_B.a-2397  [000]  9116.647802424: (+928981) sched_switch:         task_client_B.a:2397 [120] R ==> stress:2465 [120]
          stress-2467  [001]  9116.651602702: (+3800278) sched_switch:         stress:2467 [120] R ==> task_server.a:2393 [120]
          stress-2465  [000]  9116.651608998: (+6296)  sched_switch:         stress:2465 [120] R ==> task_client_B.a:2397 [120]
          stress-2464  [002]  9116.651618517: (+9519)  sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.653417387: (+1798870) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.653422850: (+5463)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.653474054: (+51204) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
   task_server.a-2393  [001]  9116.653971776: (+497722) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.653975535: (+3759)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.653995239: (+19704) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
 task_client_A.a-2395  [002]  9116.654513850: (+518611) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.654518258: (+4408)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.654546165: (+27907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.654571276: (+25111) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.654588887: (+17611) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
