CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [000]  9116.198560167: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198569111: (+8944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198573241: (+4130)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198582296: (+9055)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198591074: (+8778)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198594630: (+3556)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198604426: (+9796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198612982: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198616611: (+3629)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198625593: (+8982)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198634630: (+9037)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198638296: (+3666)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198646982: (+8686)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198655759: (+8777)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198659426: (+3667)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198673667: (+14241) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198683111: (+9444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198686834: (+3723)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198696148: (+9314)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198704945: (+8797)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198708593: (+3648)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198717667: (+9074)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198726408: (+8741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198730500: (+4092)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198739426: (+8926)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198748556: (+9130)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198752352: (+3796)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198761148: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198769871: (+8723)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198773519: (+3648)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198783037: (+9518)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198792037: (+9000)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198795741: (+3704)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198809741: (+14000) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198818482: (+8741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198822759: (+4277)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198831500: (+8741)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198844241: (+12741) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198856722: (+12481) sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198866408: (+9686)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198875278: (+8870)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198879222: (+3944)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198888537: (+9315)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198897167: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198901074: (+3907)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198909852: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198919019: (+9167)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198923593: (+4574)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198932389: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198940963: (+8574)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198944500: (+3537)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198958796: (+14296) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198967871: (+9075)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198972000: (+4129)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.198981111: (+9111)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.198989722: (+8611)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.198993408: (+3686)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199003019: (+9611)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199011389: (+8370)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199015056: (+3667)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199023871: (+8815)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
