CPU 3 is empty
cpus=4
          stress-3034  [000] 14483.547483636:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3034  [000] 14483.547490192: (+6556)  sched_switch:         stress:3034 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14483.547535692: (+45500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14483.547549229: (+13537) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.547558877: (+9648)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.547563173: (+4296)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14483.547597414: (+34241) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.547624618: (+27204) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.547628544: (+3926)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14483.547642692: (+14148) sched_switch:         kworker/u9:3:569 [100] W ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.548577025: (+934333) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3034  [000] 14483.551881081: (+3304056) sched_switch:         stress:3034 [120] R ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.555620432: (+3739351) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3034  [000] 14483.559881081: (+4260649) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3034  [000] 14483.559890747: (+9666)  sched_switch:         stress:3034 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14483.559903321: (+12574) sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.562128784: (+2225463) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.562133303: (+4519)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:517 [120]
           ngrok-517   [000] 14483.562176692: (+43389) sched_switch:         ngrok:517 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.563220507: (+1043815) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.563224766: (+4259)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:517 [120]
           ngrok-517   [000] 14483.563253358: (+28592) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-517   [000] 14483.563277729: (+24371) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14483.563298581: (+20852) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14483.563312895: (+14314) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000] 14483.563342007: (+29112) sched_switch:         ngrok:517 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.564976562: (+1634555) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
          stress-3030  [000] 14483.567868192: (+2891630) sched_switch:         stress:3030 [120] R ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.571194803: (+3326611) sched_switch:         task_client_B.a:2965 [120] R ==> trace-cmd:3040 [120]
       trace-cmd-3040  [000] 14483.572171155: (+976352) sched_switch:         trace-cmd:3040 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.573049173: (+878018) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.573055118: (+5945)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14483.573079451: (+24333) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14483.573101710: (+22259) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.573333155: (+231445) sched_switch:         task_client_B.a:2965 [120] R ==> trace-cmd:3041 [120]
       trace-cmd-3041  [000] 14483.573848451: (+515296) sched_switch:         trace-cmd:3041 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.574440932: (+592481) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
          stress-3030  [000] 14483.575874840: (+1433908) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3030  [000] 14483.575884173: (+9333)  sched_switch:         stress:3030 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14483.575912469: (+28296) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.575927673: (+15204) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.575932118: (+4445)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14483.575939766: (+7648)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.577607432: (+1667666) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3034  [000] 14483.577638932: (+31500) sched_switch:         stress:3034 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.577677395: (+38463) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
