CPU 3 is empty
cpus=4
       trace-cmd-3025  [002] 14483.547282692:          sched_switch:         trace-cmd:3025 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.549847803: (+2565111) sched_switch:         task_server.a:2961 [120] R ==> stress:3029 [120]
          stress-3029  [002] 14483.555886210: (+6038407) sched_switch:         stress:3029 [120] R ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.563419118: (+7532908) sched_switch:         task_server.a:2961 [120] R ==> trace-cmd:3039 [120]
       trace-cmd-3039  [002] 14483.564399525: (+980407) sched_switch:         trace-cmd:3039 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.565667618: (+1268093) sched_switch:         task_server.a:2961 [120] R ==> trace-cmd:3038 [120]
       trace-cmd-3038  [002] 14483.566194507: (+526889) sched_switch:         trace-cmd:3038 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.567449321: (+1254814) sched_switch:         task_server.a:2961 [120] R ==> stress:3036 [120]
          stress-3036  [002] 14483.567509284: (+59963) sched_switch:         stress:3036 [120] D ==> stress:3029 [120]
          stress-3029  [002] 14483.567747173: (+237889) sched_wakeup:         stress:3036 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.571888192: (+4141019) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.571898747: (+10555) sched_switch:         stress:3029 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14483.571934414: (+35667) sched_switch:         kworker/2:2:2856 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.576958544: (+5024130) sched_switch:         task_server.a:2961 [120] R ==> stress:3036 [120]
          stress-3036  [002] 14483.577013877: (+55333) sched_switch:         stress:3036 [120] D ==> stress:3029 [120]
          stress-3029  [002] 14483.579894006: (+2880129) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.579909229: (+15223) sched_switch:         stress:3029 [120] R ==> kworker/2:2:2856 [120]
