CPU 3 is empty
cpus=4
 task_client_B.a-3362  [001] 14786.320756129:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.338494370: (+1161259) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.338497889: (+3519)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.338516222: (+18333) sched_switch:         kworker/1:1H:91 [100] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.338519944: (+3722)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.338522833: (+2889)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.338539574: (+16741) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14786.338555370: (+15796) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14786.338569833: (+14463) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14786.338578129: (+8296)  sched_switch:         ksoftirqd/1:18 [120] S ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.338633703: (+55574) sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14786.338641944: (+8241)  sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340214240: (+1572296) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.340231722: (+17482) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3428  [001] 14786.340236722: (+5000)  sched_switch:         stress:3428 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.340257333: (+20611) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340277574: (+20241) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.340304981: (+27407) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340331592: (+26611) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.340567666: (+236074) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3430  [001] 14786.340570907: (+3241)  sched_switch:         stress:3430 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.340582777: (+11870) sched_switch:         kworker/1:1H:91 [100] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340586518: (+3741)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.340589444: (+2926)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.340598944: (+9500)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14786.340608518: (+9574)  sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14786.340621426: (+12908) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14786.340626889: (+5463)  sched_switch:         ksoftirqd/1:18 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340858148: (+231259) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.340864574: (+6426)  sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.340871185: (+6611)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.341307259: (+436074) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-3430  [001] 14786.341311389: (+4130)  sched_switch:         stress:3430 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14786.341330259: (+18870) sched_switch:         rcu_preempt:13 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.341746592: (+416333) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.342629000: (+882408) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3430  [001] 14786.342631777: (+2777)  sched_switch:         stress:3430 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.342643018: (+11241) sched_switch:         kworker/1:1H:91 [100] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.342646629: (+3611)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.342649592: (+2963)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.342658870: (+9278)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14786.342666222: (+7352)  sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14786.342675352: (+9130)  sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14786.342680555: (+5203)  sched_switch:         ksoftirqd/1:18 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.343514537: (+833982) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.343519518: (+4981)  sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.343529000: (+9482)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3429 [120]
          stress-3429  [001] 14786.348104203: (+4575203) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
