CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
          stress-3424  [002] 14786.361307833: (+4318500) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.365643370: (+4335537) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.366785203: (+1141833) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.366790388: (+5185)  sched_switch:         stress:3424 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.366836926: (+46538) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.367880018: (+1043092) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.367883722: (+3704)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.367913333: (+29611) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.367936000: (+22667) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.367957240: (+21240) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14786.367970870: (+13630) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14786.367997666: (+26796) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.368230055: (+232389) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.369338500: (+1108445) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.370420111: (+1081611) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.370482703: (+62592) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:002
          stress-3425  [002] 14786.370493500: (+10797) sched_switch:         stress:3425 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [002] 14786.370501351: (+7851)  sched_switch:         kworker/u8:2:2863 [120] W ==> stress:3425 [120]
          stress-3425  [002] 14786.370509037: (+7686)  sched_switch:         stress:3425 [120] D ==> stress:3432 [120]
          stress-3432  [002] 14786.373312370: (+2803333) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.374982000: (+1669630) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.377305925: (+2323925) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.378749314: (+1443389) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.379061222: (+311908) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.379064074: (+2852)  sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.379248296: (+184222) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.379257796: (+9500)  sched_switch:         stress:3425 [120] D ==> stress:3424 [120]
          stress-3424  [002] 14786.385308074: (+6050278) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.387060833: (+1752759) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.389285666: (+2224833) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.389346425: (+60759) sched_switch:         stress:3425 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.389533962: (+187537) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.393323833: (+3789871) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.397284759: (+3960926) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.397367277: (+82518) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.397370259: (+2982)  sched_switch:         stress:3424 [120] R ==> stress:3425 [120]
